upi_id,account_id,first_seen,last_seen,linked_case_count,linked_account_count
UPI_000059,ACC_000050,2024-03-30 18:49:16.157764877,2025-04-15 14:50:10.205202811,0,0
UPI_000060,ACC_000051,2024-04-18 19:08:33.990654681,2025-11-10 15:48:24.896434647,0,0
UPI_000061,ACC_000052,2025-10-18 08:56:09.471824110,2025-10-24 06:32:29.039573473,0,0
UPI_000062,ACC_000053,2025-09-09 12:31:27.179893047,2026-06-08 00:45:53.705286016,0,0
UPI_000063,ACC_000054,2024-08-09 04:01:59.162595242,2025-05-02 22:21:47.135856515,0,0
UPI_000064,ACC_000055,2025-11-12 18:11:30.727668650,2026-04-06 13:14:00.841522286,0,0
UPI_000065,ACC_000055,2025-11-12 18:11:30.727668650,2026-04-06 13:14:00.841522286,0,0
UPI_000066,ACC_000056,2024-08-31 00:21:48.561694581,2024-10-26 18:32:31.863653402,0,0
UPI_000067,ACC_000057,2024-10-07 08:37:57.744276822,2025-10-12 14:18:23.645589987,0,0
UPI_000068,ACC_000058,2024-12-18 07:44:02.156169519,2026-06-18 16:09:56.632368005,0,0
UPI_000069,ACC_000059,2025-01-27 13:44:58.605114840,2025-12-07 21:11:01.481741580,0,0
UPI_000070,ACC_000060,2024-09-17 19:52:04.560111877,2026-05-01 17:22:49.787498008,0,0
UPI_000071,ACC_000061,2026-05-07 14:14:42.069801703,2026-05-21 22:55:02.087231547,0,0
UPI_000072,ACC_000062,2024-11-16 22:56:40.092345867,2025-04-09 00:55:58.076946698,0,0
UPI_000073,ACC_000063,2025-01-07 10:44:12.497758366,2026-06-28 02:45:21.580861438,0,0
UPI_000074,ACC_000064,2024-04-03 15:18:56.954061034,2026-02-13 20:38:13.687214492,0,0
UPI_000075,ACC_000065,2025-06-19 17:41:21.402202532,2026-03-04 19:14:56.395504076,0,0
UPI_000076,ACC_000066,2025-03-27 00:22:20.951832958,2025-04-15 02:14:59.269157228,22,11
UPI_000077,ACC_000066,2025-03-27 00:22:20.951832958,2025-04-15 02:14:59.269157228,19,9
UPI_000078,ACC_000067,2026-04-27 19:12:16.450874761,2026-05-16 00:15:45.738898309,0,0
UPI_000079,ACC_000068,2026-02-04 22:55:20.108657375,2026-06-16 02:46:31.950825332,0,0
UPI_000080,ACC_000069,2025-04-08 20:45:56.986720152,2026-06-20 15:11:58.657517117,0,0
UPI_000081,ACC_000070,2025-11-29 17:21:04.382582568,2026-05-19 21:11:32.546692041,0,0
UPI_000082,ACC_000071,2025-09-26 02:02:56.000644043,2026-05-20 22:34:27.731321740,0,0
UPI_000083,ACC_000072,2024-11-21 19:51:22.747231048,2026-05-29 10:59:12.121816870,0,0
UPI_000084,ACC_000072,2024-11-21 19:51:22.747231048,2026-05-29 10:59:12.121816870,0,0
UPI_000085,ACC_000073,2025-04-29 14:30:11.953375101,2026-01-10 05:32:53.763832690,0,0
UPI_000086,ACC_000074,2024-06-26 17:31:30.164047213,2024-10-21 22:58:36.449523157,0,0
UPI_000087,ACC_000075,2024-08-16 23:33:28.191077501,2025-09-16 23:57:15.414004309,0,0
UPI_000088,ACC_000076,2025-03-10 23:54:31.961578436,2025-10-21 04:48:24.808983365,0,0
UPI_000089,ACC_000077,2025-01-08 18:07:45.919485338,2025-04-24 05:42:51.369259376,0,0
UPI_000090,ACC_000078,2025-06-08 09:05:31.922597639,2025-08-10 00:13:00.539732078,0,0
UPI_000091,ACC_000079,2025-06-25 23:06:15.560986489,2026-06-08 07:09:16.870305587,0,0
UPI_000092,ACC_000079,2025-06-25 23:06:15.560986489,2026-06-08 07:09:16.870305587,0,0
UPI_000093,ACC_000080,2024-04-24 13:26:03.138067363,2025-03-18 12:15:49.038785922,0,0
UPI_000094,ACC_000080,2024-04-24 13:26:03.138067363,2025-03-18 12:15:49.038785922,0,0
UPI_000095,ACC_000081,2024-10-17 02:03:15.998648603,2025-10-15 11:08:59.142030154,0,0
UPI_000096,ACC_000082,2024-12-24 03:34:46.840812214,2026-02-02 07:33:20.166907774,0,0
UPI_000097,ACC_000083,2024-05-25 19:17:38.353861727,2025-04-13 08:11:29.204008510,0,0
UPI_000098,ACC_000084,2026-01-28 15:34:01.703912020,2026-06-23 20:49:13.564662290,0,0
UPI_000099,ACC_000085,2026-02-19 19:49:05.001895741,2026-06-11 13:05:08.115996301,0,0
UPI_000100,ACC_000086,2024-04-13 07:23:08.408519143,2025-06-23 23:29:29.601984918,0,0
UPI_000101,ACC_000087,2024-08-28 23:15:23.270766649,2025-07-10 00:30:45.313050794,0,0
UPI_000102,ACC_000088,2024-09-03 01:47:03.679562777,2025-05-31 15:23:19.977321269,0,0
UPI_000103,ACC_000089,2025-12-22 00:25:23.090467133,2026-01-09 09:46:47.083008721,0,0
UPI_000104,ACC_000090,2025-01-13 16:12:04.982383136,2026-03-02 20:36:19.398387465,0,0
UPI_000105,ACC_000090,2025-01-13 16:12:04.982383136,2026-03-02 20:36:19.398387465,0,0
UPI_000106,ACC_000091,2024-03-03 09:39:28.380899433,2024-09-25 14:22:43.107124842,0,0
UPI_000107,ACC_000092,2025-07-28 21:50:42.618860669,2026-06-09 16:11:07.007265564,0,0
UPI_000108,ACC_000093,2026-03-31 00:18:38.596561387,2026-05-22 19:10:31.923136038,0,0
UPI_000109,ACC_000094,2024-11-11 11:13:55.145922478,2025-09-16 15:15:06.272750737,0,0
UPI_000110,ACC_000095,2025-09-01 07:33:31.044738725,2025-12-19 11:47:51.159082500,0,0
UPI_000111,ACC_000096,2024-08-23 18:12:27.367607173,2025-09-06 05:57:01.622066421,0,0
UPI_000112,ACC_000097,2024-09-19 08:13:53.966143139,2024-12-03 00:16:15.031112663,0,0
UPI_000113,ACC_000097,2024-09-19 08:13:53.966143139,2024-12-03 00:16:15.031112663,0,0
UPI_000114,ACC_000098,2024-07-03 15:12:19.210381199,2025-03-22 23:13:47.595135739,0,0
UPI_000115,ACC_000098,2024-07-03 15:12:19.210381199,2025-03-22 23:13:47.595135739,0,0
UPI_000116,ACC_000099,2024-03-14 13:36:59.690856357,2024-08-09 20:09:16.135926836,0,0
UPI_000117,ACC_000100,2024-07-20 17:37:22.177930430,2025-07-11 08:53:44.684889882,0,0
UPI_000118,ACC_000101,2025-07-12 09:45:24.094576620,2026-05-25 22:42:48.707363538,0,0
UPI_000119,ACC_000102,2024-10-07 05:27:23.325061630,2026-02-16 22:49:04.360080422,0,0
UPI_000120,ACC_000103,2025-05-25 05:03:03.452665731,2025-09-02 18:42:37.147322833,108,29
UPI_000121,ACC_000103,2025-05-25 05:03:03.452665731,2025-09-02 18:42:37.147322833,111,30
UPI_000122,ACC_000104,2024-01-10 01:00:04.499113459,2025-08-11 19:13:33.072630736,0,0
UPI_000123,ACC_000105,2026-02-21 06:29:02.042718709,2026-04-21 01:58:28.490863889,0,0
UPI_000124,ACC_000106,2025-02-06 13:10:43.934496105,2026-05-03 07:08:41.521934371,0,0
UPI_000125,ACC_000107,2026-03-13 11:55:53.769612268,2026-04-22 20:36:54.395421693,0,0
UPI_000126,ACC_000108,2024-11-18 08:00:05.921804041,2024-12-30 17:52:31.102730759,0,0
UPI_000127,ACC_000109,2026-03-02 01:08:29.866314605,2026-03-11 00:26:05.458717122,0,0
UPI_000128,ACC_000110,2025-07-21 05:19:11.595352143,2025-09-09 11:11:09.942033888,0,0
UPI_000129,ACC_000111,2026-01-18 05:07:28.857206695,2026-05-29 04:08:24.557060561,0,0
UPI_000130,ACC_000112,2025-11-07 02:48:56.528357983,2026-01-16 22:31:13.999358572,0,0
UPI_000131,ACC_000113,2026-06-29 06:12:55.615366563,2026-06-29 07:52:48.648854595,0,0
UPI_000132,ACC_000114,2024-02-04 05:01:37.833618935,2025-06-05 03:38:18.250709783,0,0
UPI_000133,ACC_000115,2024-10-11 21:58:46.914776322,2026-05-02 07:45:35.226378094,0,0
UPI_000134,ACC_000116,2025-03-28 05:48:51.545781218,2026-04-17 23:46:50.977817934,0,0
UPI_000135,ACC_000117,2026-01-26 09:20:32.092564397,2026-03-06 05:05:42.556228242,45,13
UPI_000136,ACC_000117,2026-01-26 09:20:32.092564397,2026-03-06 05:05:42.556228242,47,12
UPI_000137,ACC_000118,2024-02-21 23:17:10.326667068,2025-07-26 11:16:44.947940629,2,3
UPI_000138,ACC_000119,2025-02-08 18:41:23.367917061,2026-02-12 17:41:28.057338272,0,0
UPI_000139,ACC_000120,2025-05-06 10:58:39.749142669,2025-09-18 07:18:02.309090812,0,0
UPI_000140,ACC_000121,2025-01-30 16:29:04.066195108,2025-12-27 03:44:52.233902220,0,0
UPI_000141,ACC_000122,2026-04-29 18:03:03.842490152,2026-06-10 14:03:35.109493408,0,0
UPI_000142,ACC_000123,2024-12-05 14:33:54.286060750,2025-08-04 18:19:01.546644375,0,0
UPI_000143,ACC_000124,2025-10-31 00:39:39.734938718,2025-12-30 04:24:11.290012627,0,0
UPI_000144,ACC_000125,2025-06-06 05:00:18.976757236,2026-02-02 19:09:59.416404647,0,0
UPI_000145,ACC_000126,2024-02-06 11:06:37.983578706,2025-11-16 09:22:14.472188487,0,0
UPI_000146,ACC_000127,2024-10-02 04:50:15.969492111,2026-01-27 12:00:41.557736647,2,3
UPI_000147,ACC_000128,2025-12-09 21:32:21.082189880,2026-02-17 14:27:09.052926889,0,0
UPI_000148,ACC_000129,2025-04-24 03:23:41.472166955,2025-09-13 21:31:23.256094273,0,0
UPI_000149,ACC_000130,2024-11-25 05:51:56.491181131,2026-04-22 04:45:19.776177006,0,0
UPI_000150,ACC_000131,2026-02-11 08:52:41.440500960,2026-03-27 06:44:37.576443332,0,0
UPI_000151,ACC_000132,2025-07-22 02:01:23.136782669,2026-01-01 23:11:21.782701241,0,0
UPI_000152,ACC_000133,2025-11-04 22:35:05.512435011,2026-01-29 02:25:05.227937633,0,0
UPI_000153,ACC_000134,2026-02-15 18:19:08.694995403,2026-03-30 13:22:56.514273071,0,0
UPI_000154,ACC_000135,2025-12-25 03:42:11.619221300,2026-02-28 06:18:33.234413337,0,0
UPI_000155,ACC_000136,2024-10-28 23:12:47.186735809,2025-11-30 01:44:26.221470449,0,0
UPI_000156,ACC_000137,2024-10-05 03:48:12.649639092,2026-02-10 03:22:22.786227073,0,0
UPI_000157,ACC_000138,2025-03-01 17:04:40.822073087,2025-10-22 12:11:29.348428091,0,0
UPI_000158,ACC_000139,2026-01-11 23:29:40.461268812,2026-02-05 03:43:53.569820506,0,0
UPI_000159,ACC_000140,2025-01-02 06:14:14.281210899,2025-02-04 15:04:28.127295442,205,53
UPI_000160,ACC_000141,2024-05-03 01:34:43.761411507,2025-02-25 16:24:27.881351315,0,0
UPI_000161,ACC_000142,2025-09-28 15:03:13.233897708,2025-11-05 20:33:55.871392454,0,0
UPI_000162,ACC_000143,2024-02-19 13:20:45.328015743,2026-04-22 01:27:31.554247077,0,0
UPI_000163,ACC_000144,2024-04-04 10:19:55.111981746,2025-03-07 03:19:02.435511461,0,0
UPI_000164,ACC_000145,2024-11-23 22:13:25.314649653,2025-03-28 10:43:09.472493981,0,0
UPI_000165,ACC_000146,2026-06-11 10:52:01.876694009,2026-06-25 20:56:29.495576246,0,0
UPI_000166,ACC_000147,2025-08-31 09:53:48.079141974,2026-01-11 17:39:40.027633480,0,0
UPI_000167,ACC_000148,2026-06-18 17:36:54.309016392,2026-06-25 21:30:39.946188399,0,0
UPI_000168,ACC_000149,2026-01-23 07:31:15.996415265,2026-03-18 16:24:17.488113028,0,0
UPI_000169,ACC_000149,2026-01-23 07:31:15.996415265,2026-03-18 16:24:17.488113028,0,0
UPI_000170,ACC_000150,2025-12-29 05:33:52.108113162,2026-02-08 03:09:06.760305472,0,0
UPI_000171,ACC_000151,2025-04-01 03:22:43.673220605,2025-10-13 08:17:07.707558553,0,0
UPI_000172,ACC_000152,2024-09-14 00:41:15.018782854,2025-03-20 00:25:46.173067974,0,0
UPI_000173,ACC_000153,2025-07-10 12:54:08.249839291,2025-11-28 03:21:14.255426694,0,0
UPI_000174,ACC_000154,2024-02-14 13:33:08.690388151,2024-08-19 04:52:13.978698426,0,0
UPI_000175,ACC_000155,2025-05-20 14:46:21.133889503,2026-03-27 02:29:05.269339581,0,0
UPI_000176,ACC_000156,2025-09-07 07:23:24.214228168,2026-05-02 10:08:59.030543865,0,0
UPI_000177,ACC_000157,2025-03-18 10:22:46.694984153,2025-03-23 03:19:32.927365267,0,0
UPI_000178,ACC_000157,2025-03-18 10:22:46.694984153,2025-03-23 03:19:32.927365267,0,0
UPI_000179,ACC_000158,2025-04-25 09:38:36.424712785,2025-11-24 02:29:53.729512303,0,0
UPI_000180,ACC_000159,2024-03-11 22:02:03.589137396,2024-10-10 23:45:06.077014191,0,0
UPI_000181,ACC_000160,2024-08-27 05:42:32.567400567,2026-05-24 22:52:42.922140354,0,0
UPI_000182,ACC_000161,2025-10-16 19:45:05.317221187,2026-03-04 01:12:38.576292418,0,0
UPI_000183,ACC_000162,2025-10-09 08:53:25.864197157,2026-03-29 02:24:33.485129062,0,0
UPI_000184,ACC_000163,2026-03-13 05:37:01.825102195,2026-03-28 22:04:57.158010895,0,0
UPI_000185,ACC_000164,2024-10-19 22:07:43.263009712,2026-01-11 15:52:24.773192197,0,0
UPI_000186,ACC_000165,2026-03-19 18:04:10.235562429,2026-03-31 21:39:24.084259734,0,0
UPI_000187,ACC_000166,2024-02-24 17:59:53.714908473,2024-07-09 12:55:47.626139407,0,0
UPI_000188,ACC_000167,2026-02-05 19:15:55.736480407,2026-06-29 00:35:38.259413487,0,0
UPI_000189,ACC_000168,2025-05-06 09:09:01.021508262,2025-11-18 21:24:13.377375065,0,0
UPI_000190,ACC_000169,2025-05-10 12:04:37.603570409,2025-10-17 12:32:09.065774389,0,0
UPI_000191,ACC_000170,2025-10-09 16:52:19.087851323,2026-05-17 19:10:18.640702298,0,0
UPI_000192,ACC_000171,2024-02-03 23:45:58.254306362,2025-12-08 12:06:09.289945791,0,0
UPI_000193,ACC_000172,2025-09-12 21:43:29.997787960,2026-03-22 06:54:23.708687776,0,0
UPI_000194,ACC_000173,2024-10-30 11:02:48.500733785,2025-01-27 13:31:21.104468330,0,0
UPI_000195,ACC_000174,2024-07-25 18:54:20.942621887,2025-03-03 08:39:21.760478492,0,0
UPI_000196,ACC_000175,2025-08-29 11:05:57.568091162,2025-10-24 21:38:06.993897106,0,0
UPI_000197,ACC_000175,2025-08-29 11:05:57.568091162,2025-10-24 21:38:06.993897106,0,0
UPI_000198,ACC_000176,2025-03-21 17:44:09.808110379,2025-10-23 18:09:14.573966613,0,0
UPI_000199,ACC_000177,2026-03-27 21:13:57.506203054,2026-05-24 08:42:10.112398797,0,0
UPI_000200,ACC_000178,2026-06-25 09:40:11.024015933,2026-06-27 01:04:35.267074784,0,0
UPI_000201,ACC_000179,2024-04-11 03:35:33.458083844,2026-03-24 18:59:06.511027831,0,0
UPI_000202,ACC_000180,2025-10-02 09:48:57.233499125,2026-01-30 23:59:37.956734599,0,0
UPI_000203,ACC_000181,2024-03-22 05:45:03.784323395,2026-06-20 23:57:51.488753255,0,0
UPI_000204,ACC_000181,2024-03-22 05:45:03.784323395,2026-06-20 23:57:51.488753255,0,0
UPI_000205,ACC_000182,2024-03-23 01:08:53.132836279,2026-03-31 00:13:54.026098632,0,0
UPI_000206,ACC_000183,2026-03-02 07:08:02.376171336,2026-04-04 05:27:38.017435384,0,0
UPI_000207,ACC_000184,2024-07-01 01:48:00.587964522,2024-10-18 15:23:24.540248342,0,0
UPI_000208,ACC_000185,2024-10-08 09:16:23.122973520,2024-12-15 09:37:10.899391199,0,0
UPI_000209,ACC_000186,2026-06-18 12:19:42.084333658,2026-06-22 00:13:39.041856591,0,0
UPI_000210,ACC_000186,2026-06-18 12:19:42.084333658,2026-06-22 00:13:39.041856591,0,0
UPI_000211,ACC_000187,2024-02-24 21:07:55.828278594,2025-12-29 03:20:11.517667214,0,0
UPI_000212,ACC_000188,2024-09-28 02:52:06.984072857,2025-12-24 09:09:13.259090329,0,0
UPI_000213,ACC_000189,2024-10-04 22:06:27.469839677,2025-03-21 14:28:19.376267530,205,90
UPI_000214,ACC_000190,2025-03-11 17:38:31.624861099,2026-04-12 21:59:16.106645814,0,0
UPI_000215,ACC_000191,2024-03-25 21:35:09.960681332,2024-07-13 20:42:52.862149231,0,0
UPI_000216,ACC_000192,2024-12-27 11:55:19.745619498,2026-01-12 04:06:42.767644338,0,0
UPI_000217,ACC_000193,2025-06-20 20:07:38.391108662,2025-12-06 12:29:35.783431093,0,0
UPI_000218,ACC_000193,2025-06-20 20:07:38.391108662,2025-12-06 12:29:35.783431093,0,0
UPI_000219,ACC_000194,2024-01-10 18:45:07.139948933,2024-02-01 06:06:53.424185961,0,0
UPI_000220,ACC_000195,2026-05-29 12:34:21.841246545,2026-05-29 20:22:08.987817886,0,0
UPI_000221,ACC_000196,2026-03-19 16:52:53.370283961,2026-04-06 00:59:45.079043060,0,0
UPI_000222,ACC_000197,2024-05-06 13:33:03.951746987,2025-02-18 01:11:05.883400710,0,0
UPI_000223,ACC_000198,2025-12-02 05:13:51.049214713,2025-12-14 15:47:43.766126006,0,0
UPI_000224,ACC_000199,2025-06-03 12:03:16.677860104,2025-08-10 03:09:54.686197092,0,0
UPI_000225,ACC_000200,2024-01-09 19:25:46.778551254,2026-05-11 00:45:41.816539670,0,0
UPI_000226,ACC_000201,2025-06-19 05:49:13.969478302,2025-09-18 18:01:52.159316714,0,0
UPI_000227,ACC_000202,2026-05-18 08:21:04.778827965,2026-06-24 06:52:49.257292027,0,0
UPI_000228,ACC_000203,2024-11-05 23:56:40.272833858,2026-05-24 15:59:13.875152294,0,0
UPI_000229,ACC_000204,2024-08-17 03:46:43.804119345,2026-02-26 19:58:53.856421149,0,0
UPI_000230,ACC_000205,2024-02-01 03:34:55.469244867,2025-07-17 02:32:27.174800486,0,0
UPI_000231,ACC_000205,2024-02-01 03:34:55.469244867,2025-07-17 02:32:27.174800486,0,0
UPI_000232,ACC_000206,2024-11-21 14:21:59.859645057,2025-06-17 04:33:43.425352158,83,48
UPI_000233,ACC_000207,2025-10-15 03:29:04.031226121,2025-12-22 20:27:37.455964003,0,0
UPI_000234,ACC_000208,2025-12-20 06:37:59.749274194,2026-05-26 13:39:24.558626143,0,0
UPI_000235,ACC_000209,2025-08-10 23:00:17.277867883,2026-06-04 10:30:29.579838971,0,0
UPI_000236,ACC_000210,2024-07-21 02:18:33.577158395,2026-02-21 06:42:36.849838587,0,0
UPI_000237,ACC_000211,2025-12-09 00:22:36.435194060,2026-02-27 06:46:53.765645554,0,0
UPI_000238,ACC_000212,2025-10-23 16:20:59.271013029,2026-06-02 00:13:08.840310798,0,0
UPI_000239,ACC_000213,2025-11-01 09:05:01.376779847,2026-05-04 05:49:32.958464444,0,0
UPI_000240,ACC_000214,2026-05-11 09:48:00.817556515,2026-05-22 04:05:55.875107215,0,0
UPI_000241,ACC_000215,2024-05-07 01:54:26.821993459,2025-04-22 05:29:38.708561323,0,0
UPI_000242,ACC_000216,2025-09-29 02:24:33.151889585,2026-01-28 08:48:07.661129695,0,0
UPI_000243,ACC_000217,2026-03-11 20:20:12.929528102,2026-05-02 21:37:21.235897696,0,0
UPI_000244,ACC_000218,2024-12-16 07:59:09.921815682,2026-01-16 05:37:57.179889555,0,0
UPI_000245,ACC_000219,2024-11-08 19:10:52.910443515,2025-05-11 18:52:53.692272492,0,0
UPI_000246,ACC_000219,2024-11-08 19:10:52.910443515,2025-05-11 18:52:53.692272492,0,0
UPI_000247,ACC_000220,2026-02-14 04:26:40.867239438,2026-03-12 15:50:10.323018126,0,0
UPI_000248,ACC_000221,2026-02-28 23:12:41.850649387,2026-06-20 17:16:50.482205974,0,0
UPI_000249,ACC_000222,2024-06-17 07:34:04.640366361,2024-06-30 12:35:00.699556635,0,0
UPI_000250,ACC_000223,2026-04-27 21:09:58.458275095,2026-05-02 11:08:48.415314073,0,0
UPI_000251,ACC_000224,2025-10-11 12:47:00.095603369,2026-05-12 04:27:03.002107699,0,0
UPI_000252,ACC_000225,2026-02-06 23:06:21.896207340,2026-04-14 06:59:04.975003158,0,0
UPI_000253,ACC_000226,2025-09-07 08:20:49.017197482,2025-10-14 21:18:32.566949776,0,0
UPI_000254,ACC_000227,2025-05-30 01:46:19.639159955,2026-02-16 09:25:29.569370679,0,0
UPI_000255,ACC_000227,2025-05-30 01:46:19.639159955,2026-02-16 09:25:29.569370679,0,0
UPI_000256,ACC_000228,2024-11-10 11:08:07.474987619,2025-06-16 02:28:14.345987726,0,0
UPI_000257,ACC_000229,2025-09-26 01:39:40.822933003,2026-03-12 10:10:56.269598398,0,0
UPI_000258,ACC_000230,2024-08-13 13:28:57.286884282,2025-06-23 04:26:46.185115605,0,0
UPI_000259,ACC_000230,2024-08-13 13:28:57.286884282,2025-06-23 04:26:46.185115605,0,0
UPI_000260,ACC_000231,2026-01-21 02:43:47.001341566,2026-02-03 02:26:20.202002840,0,0
UPI_000261,ACC_000232,2025-02-11 07:08:20.017768301,2025-07-02 11:42:00.601704826,0,0
UPI_000262,ACC_000233,2025-11-27 07:46:01.576228790,2026-02-12 17:00:38.242718218,0,0
UPI_000263,ACC_000234,2026-01-14 18:03:26.973415099,2026-02-01 05:02:15.246637533,0,0
UPI_000264,ACC_000235,2024-08-17 14:19:05.450084861,2024-08-22 14:16:37.858524096,0,0
UPI_000265,ACC_000236,2026-03-10 09:22:36.487700686,2026-04-17 12:19:27.372561039,0,0
UPI_000266,ACC_000237,2025-02-28 07:07:07.160854876,2026-01-21 03:53:55.906283859,0,0
UPI_000267,ACC_000237,2025-02-28 07:07:07.160854876,2026-01-21 03:53:55.906283859,0,0
