withdrawal_id,complaint_id,account_id,atm_id,withdrawal_timestamp,withdrawal_amount,latitude,longitude,time_since_fraud,time_since_last_transfer,withdrawal_sequence,withdrawal_success
WD_000074,CASE_000074,ACC_000819,ATM_000054,2024-08-06 14:13:48.399675006,4394.99,13.098663542145438,80.2606685689505,11.38,10.404,1,0
WD_000075,CASE_000075,ACC_000309,ATM_000252,2025-10-09 03:44:22.209118533,9705.35,26.97896359678675,75.8661569858974,11.31,9.814,1,1
WD_000076,CASE_000076,ACC_000011,ATM_000273,2025-11-20 18:09:06.090507372,107376.91,18.9747741925689,72.91706664148816,6.535,6.069,1,1
WD_000077,CASE_000077,ACC_000775,ATM_000006,2024-12-23 16:25:14.602726449,4412.52,22.778458741462313,75.93860984345183,4.619,2.651,1,1
WD_000078,CASE_000078,ACC_000480,ATM_000386,2025-08-21 11:34:35.631226553,1935.08,22.7369288913546,75.81971944977604,4.294,3.31,1,1
WD_000079,CASE_000079,ACC_000775,ATM_000006,2025-07-12 02:10:02.651966236,1093.75,22.778458741462313,75.93860984345183,9.931,7.355,1,1
WD_000080,CASE_000080,ACC_000011,ATM_000108,2025-11-05 00:17:21.800488504,21358.62,18.589901303342067,73.91787562266242,1.85,1.104,1,1
WD_000081,CASE_000081,ACC_000533,ATM_000291,2025-10-16 21:33:14.702379941,14068.06,23.024387860325554,72.60476029315736,4.806,3.07,1,1
WD_000082,CASE_000082,ACC_001238,ATM_000243,2024-03-19 09:15:55.211707774,3875.84,18.51743894014746,73.85207264990669,3.786,2.701,1,1
WD_000083,CASE_000083,ACC_000267,ATM_000280,2024-05-24 10:51:39.670596949,801.39,23.002582842473544,72.60846343532445,6.879,3.785,1,1
WD_000084,CASE_000084,ACC_000011,ATM_000108,2024-05-01 07:08:05.022335427,2765.82,18.589901303342067,73.91787562266242,9.188,8.104,1,1
WD_000085,CASE_000085,ACC_000139,ATM_000019,2026-04-29 16:43:13.808203340,9546.02,23.00704618103605,72.55527239374688,4.976,3.471,1,1
WD_000086,CASE_000086,ACC_000467,ATM_000223,2026-04-13 00:29:44.934286214,5453.01,13.189103767144722,80.26507209306659,18.799,17.625,1,1
WD_000087,CASE_000087,ACC_000190,ATM_000276,2025-12-27 17:07:56.970523162,14843.75,28.59530661848684,77.2524303496254,6.511,4.732,1,1
WD_000088,CASE_000088,ACC_001647,ATM_000180,2024-04-16 14:18:47.226608222,3859.6,22.586746422822937,88.40071491243924,6.379,4.345,1,1
WD_000089,CASE_000089,ACC_001308,ATM_000176,2025-06-07 06:10:34.583332732,19084.2,19.033545538500235,72.84141876415256,2.305,0.483,1,1
WD_000090,CASE_000090,ACC_000480,ATM_000297,2024-06-19 17:57:40.908426324,9740.84,22.735203387378554,75.94304101477319,4.351,3.669,1,1
WD_000091,CASE_000091,ACC_000068,ATM_000347,2024-12-01 17:42:54.666494338,2787.39,21.169933193662782,72.79248473236532,3.369,1.248,1,1
WD_000092,CASE_000092,ACC_000052,ATM_000378,2024-08-31 15:03:29.266789089,10866.21,28.602026069778045,77.22378910447576,7.374,6.018,1,1
WD_000093,CASE_000093,ACC_000767,ATM_000362,2026-01-25 09:16:02.518979912,17848.16,19.066627111472375,72.86363441085587,5.52,4.709,1,1
WD_000094,CASE_000094,ACC_000480,ATM_000377,2024-05-11 17:51:58.247458081,17335.3,26.781409663198932,80.96271185047749,3.581,1.496,1,1
WD_000095,CASE_000095,ACC_001335,ATM_000280,2025-08-11 19:17:38.487916598,1783.65,23.002582842473544,72.60846343532445,3.233,1.958,1,1
WD_000096,CASE_000096,ACC_000694,ATM_000138,2026-06-15 12:28:58.597502523,6261.23,12.984454809489609,77.6070901962344,4.61,1.645,1,1
WD_000097,CASE_000097,ACC_000052,ATM_000126,2025-09-18 05:51:25.464263149,7367.63,12.970793101253118,77.63507536164143,8.096,7.386,1,1
WD_000098,CASE_000098,ACC_000533,ATM_000101,2024-03-13 06:10:08.302426501,41014.12,26.768619192173965,80.96379808067807,1.808,0.451,1,1
WD_000099,CASE_000099,ACC_000190,ATM_000226,2026-04-07 06:20:27.438238644,13560.81,26.832292606363673,80.99338305519392,5.119,3.59,1,1
WD_000100,CASE_000100,ACC_000775,ATM_000006,2025-08-09 08:27:58.777905413,1474.25,22.778458741462313,75.93860984345183,12.172,10.799,1,1
WD_000101,CASE_000101,ACC_001308,ATM_000093,2025-02-20 07:58:05.756208370,2913.53,28.6167369892839,77.28928122735135,15.185,13.123,1,1
WD_000102,CASE_000102,ACC_000753,ATM_000318,2025-08-24 04:01:44.420558735,1869.12,13.085488907526226,80.25975933537603,4.513,3.778,1,1
WD_000103,CASE_000103,ACC_000480,ATM_000373,2026-03-11 23:25:04.153466161,8118.04,28.610913615498532,77.28160210525232,3.993,2.466,1,0
WD_000104,CASE_000104,ACC_001629,ATM_000141,2025-03-10 19:24:09.746284720,2737.59,12.96184454963462,77.70387594017772,3.493,1.005,1,1
WD_000105,CASE_000105,ACC_000767,ATM_000206,2025-04-29 11:30:48.117846948,3498.97,18.454279847591135,73.91225868385318,10.7,10.024,1,1
WD_000106,CASE_000106,ACC_000467,ATM_000004,2025-02-16 08:10:35.838628848,405.43,13.072762724653366,80.26387571924367,3.867,2.866,1,1
WD_000107,CASE_000107,ACC_001335,ATM_000233,2024-03-07 08:25:39.802849886,280.78,21.166209460248332,72.83085952660973,5.289,1.491,1,1
WD_000108,CASE_000108,ACC_000480,ATM_000386,2025-12-18 08:12:04.753094622,189.64,22.7369288913546,75.81971944977604,7.7,6.863,1,1
WD_000109,CASE_000109,ACC_000267,ATM_000228,2024-04-25 06:35:03.093115430,3819.28,12.965478498822426,77.60160591219447,2.718,1.231,1,0
WD_000110,CASE_000110,ACC_000011,ATM_000313,2024-12-25 17:06:21.749268638,131317.3,18.456075024739004,73.79326097893265,6.227,4.149,1,1
WD_000111,CASE_000111,ACC_000404,ATM_000269,2024-12-18 12:41:11.368672641,53317.48,19.107698538950824,72.88263004250993,3.192,0.947,1,1
WD_000112,CASE_000112,ACC_001350,ATM_000280,2024-09-12 14:36:19.382621533,1221.55,23.002582842473544,72.60846343532445,11.794,9.882,1,1
WD_000113,CASE_000113,ACC_000366,ATM_000194,2025-01-01 21:36:40.871587978,3866.05,23.03781946874166,72.6397004783593,5.196,3.593,1,1
WD_000114,CASE_000114,ACC_001300,ATM_000313,2025-07-17 00:55:14.144526575,701.01,18.456075024739004,73.79326097893265,0.769,0.414,1,1
WD_000115,CASE_000115,ACC_000880,ATM_000026,2024-10-10 19:44:02.644379714,4575.02,19.119083215737124,73.0401359973329,3.562,2.838,1,1
WD_000116,CASE_000116,ACC_001768,ATM_000055,2024-06-06 08:24:52.803391534,916.46,13.085036148706607,80.28059344946895,4.614,3.544,1,1
WD_000117,CASE_000117,ACC_000093,ATM_000118,2026-03-03 03:48:55.340275665,2917.66,13.134732197921853,80.33347937040632,3.964,3.35,1,1
WD_000118,CASE_000118,ACC_001308,ATM_000370,2026-06-03 20:38:50.590141712,2894.3,26.96837587549417,75.82867978776605,10.362,9.52,1,1
WD_000119,CASE_000119,ACC_000767,ATM_000304,2025-02-21 20:29:00.079454227,4641.41,13.021831666544454,77.51243518116864,2.007,0.673,1,1
WD_000120,CASE_000120,ACC_001335,ATM_000253,2024-10-25 03:21:27.455745980,3514.72,28.602473075055293,77.29067749427534,5.399,3.024,1,1
WD_000121,CASE_000121,ACC_001625,ATM_000389,2024-02-13 12:09:35.688485003,3013.05,19.132232363015927,72.94710985739454,6.012,3.109,1,1
WD_000122,CASE_000122,ACC_000023,ATM_000386,2024-02-03 16:55:04.197764635,9951.45,22.7369288913546,75.81971944977604,3.196,1.597,1,0
WD_000123,CASE_000123,ACC_000342,ATM_000002,2024-12-24 09:08:17.234077233,2366.31,28.57323762217617,77.31218533657218,11.166,10.016,1,0
WD_000124,CASE_000124,ACC_000011,ATM_000369,2026-04-27 19:14:34.823495418,1909.12,21.15083782779605,79.07656973867611,8.432,7.602,1,1
WD_000125,CASE_000125,ACC_001085,ATM_000228,2025-10-28 12:38:44.528629025,928.66,12.965478498822426,77.60160591219447,20.434,18.446,1,1
WD_000126,CASE_000126,ACC_000775,ATM_000006,2024-11-14 07:50:13.190057381,7280.92,22.778458741462313,75.93860984345183,3.41,1.886,1,1
WD_000127,CASE_000127,ACC_000533,ATM_000341,2026-05-31 23:08:55.252534082,3761.21,19.21819144879545,72.97825144248796,1.782,0.508,1,1
WD_000128,CASE_000128,ACC_001050,ATM_000326,2025-01-25 18:56:20.151010133,606.85,13.07849561142994,80.26923169793007,4.576,3.069,1,1
WD_000129,CASE_000129,ACC_001592,ATM_000236,2024-09-10 13:54:57.413515144,12797.75,23.01538106117906,72.56115543766649,34.119,30.0,1,1
WD_000130,CASE_000130,ACC_000659,ATM_000161,2025-01-23 11:18:37.571728465,1584.88,19.06714542643581,72.87550863111355,1.523,0.549,1,1
WD_000131,CASE_000131,ACC_000139,ATM_000346,2024-07-11 20:31:01.923409934,34370.68,22.549604170475213,88.41551566084136,3.336,2.8,1,1
WD_000132,CASE_000132,ACC_000480,ATM_000297,2026-03-18 01:14:19.692041518,5254.2,22.735203387378554,75.94304101477319,5.633,2.8,1,1
WD_000133,CASE_000133,ACC_001288,ATM_000055,2024-11-25 06:08:46.044842676,11775.01,13.085036148706607,80.28059344946895,5.453,3.948,1,1
WD_000134,CASE_000134,ACC_000190,ATM_000337,2025-08-22 19:47:14.902463312,25069.48,19.054280878217295,72.88341484047682,9.954,8.923,1,1
WD_000135,CASE_000135,ACC_000011,ATM_000146,2024-12-20 18:38:08.148914430,1574.46,18.521843319164628,73.90778304556412,8.508,7.546,1,1
WD_000136,CASE_000136,ACC_000052,ATM_000241,2026-04-01 21:27:43.273180508,5779.25,23.089526498005423,72.61873155555956,10.006,7.963,1,1
WD_000137,CASE_000137,ACC_001592,ATM_000116,2025-08-09 11:52:42.975943355,4772.48,26.930292496888846,75.78119583030755,30.866,30.0,1,1
WD_000138,CASE_000138,ACC_001768,ATM_000034,2025-03-21 07:06:54.198114264,2028.44,28.57410657173998,77.1162926099141,11.976,10.661,1,1
WD_000139,CASE_000139,ACC_001507,ATM_000259,2024-05-01 01:07:15.374494250,6078.79,19.01439915720663,72.86005389860291,15.947,13.781,1,1
WD_000140,CASE_000140,ACC_000767,ATM_000165,2026-04-01 21:21:17.054064169,2985.45,13.038643372162904,77.5733161676105,5.849,5.047,1,1
WD_000141,CASE_000141,ACC_001625,ATM_000126,2025-05-13 13:39:00.734315318,3834.09,12.970793101253118,77.63507536164143,10.046,8.347,1,1
WD_000142,CASE_000142,ACC_000309,ATM_000306,2024-09-17 07:24:15.377201805,1910.3,28.623145565195355,77.14066011207886,15.006,13.671,1,1
WD_000143,CASE_000143,ACC_000404,ATM_000277,2026-03-10 23:21:39.486984373,5354.16,21.05069982069505,79.05888962386011,4.367,3.039,1,1
WD_000144,CASE_000144,ACC_001050,ATM_000158,2024-02-19 18:38:47.124362941,22378.14,13.030031635088802,80.26467486307006,4.361,3.691,1,0
WD_000145,CASE_000145,ACC_001050,ATM_000297,2024-10-13 07:34:36.712137260,33397.56,22.735203387378554,75.94304101477319,4.599,3.076,1,1
WD_000146,CASE_000146,ACC_000023,ATM_000386,2025-05-04 07:40:06.470314761,8567.26,22.7369288913546,75.81971944977604,6.452,5.191,1,1
WD_000147,CASE_000147,ACC_000011,ATM_000313,2024-11-05 16:56:54.563139915,10652.11,18.456075024739004,73.79326097893265,3.248,2.547,1,1
WD_000148,CASE_000148,ACC_001507,ATM_000270,2025-03-10 08:36:54.838765742,17874.79,19.04031086258275,72.90511404786614,1.297,0.278,1,1
WD_000149,CASE_000149,ACC_000467,ATM_000223,2024-08-29 09:13:39.355966584,44224.26,13.189103767144722,80.26507209306659,14.217,12.981,1,1
WD_000150,CASE_000150,ACC_001350,ATM_000113,2024-04-28 21:03:56.578263151,4105.77,20.002396209142194,73.78609597129261,8.929,6.997,1,1
WD_000151,CASE_000151,ACC_000267,ATM_000151,2024-02-03 16:29:08.073527077,6136.39,22.9727121741609,72.56078065791901,2.707,0.548,1,1
WD_000152,CASE_000152,ACC_000366,ATM_000066,2024-05-23 18:13:12.288081859,10331.05,13.03389423523437,77.55055075170849,3.436,1.23,1,1
WD_000153,CASE_000153,ACC_001350,ATM_000013,2026-05-18 08:26:23.591608001,3297.17,17.39476814761355,78.48625496868215,5.217,4.452,1,1
WD_000154,CASE_000154,ACC_000052,ATM_000194,2025-06-08 13:15:10.793857911,1119.52,23.03781946874166,72.6397004783593,8.639,7.177,1,1
WD_000155,CASE_000155,ACC_001625,ATM_000223,2025-03-21 15:01:10.534560646,21003.69,13.189103767144722,80.26507209306659,4.395,3.436,1,1
WD_000156,CASE_000156,ACC_000782,ATM_000334,2024-12-16 18:17:46.369757624,2306.67,26.9066317936065,75.74113436075218,15.44,14.056,1,1
WD_000157,CASE_000157,ACC_001768,ATM_000156,2025-10-08 00:13:52.461068670,2047.14,13.101891989694947,80.25397609097955,15.333,12.191,1,1
WD_000158,CASE_000158,ACC_001133,ATM_000039,2024-05-10 00:07:21.374230333,14718.74,18.44998213174327,73.89797019591478,31.625,30.0,1,1
WD_000159,CASE_000159,ACC_000819,ATM_000156,2024-09-08 17:54:20.396318936,10118.93,13.101891989694947,80.25397609097955,4.602,3.385,1,1
WD_000160,CASE_000160,ACC_001350,ATM_000060,2025-08-20 20:50:35.967428290,941.75,19.00759210751052,72.86992999783358,8.199,6.848,1,1
WD_000161,CASE_000161,ACC_001625,ATM_000121,2025-03-12 12:20:54.693054090,39110.6,17.460934753635037,78.54223338719872,2.085,1.056,1,1
WD_000162,CASE_000162,ACC_000011,ATM_000146,2025-12-02 14:24:40.898049478,971.76,18.521843319164628,73.90778304556412,1.108,0.717,1,0
WD_000163,CASE_000163,ACC_000287,ATM_000280,2026-03-28 08:26:58.567085239,2361.39,23.002582842473544,72.60846343532445,2.04,0.378,1,1
WD_000164,CASE_000164,ACC_001267,ATM_000145,2026-01-20 07:46:33.819915022,142315.65,12.9570457342655,77.59946740582812,5.558,4.518,1,1
WD_000165,CASE_000165,ACC_000775,ATM_000130,2024-06-17 01:42:54.057869537,2519.58,17.381863535499495,78.45162698844055,6.198,5.247,1,1
WD_000166,CASE_000166,ACC_000404,ATM_000307,2024-03-24 11:35:35.119707685,11908.0,28.677872510757314,77.27382117966692,3.688,3.449,1,0
WD_000167,CASE_000167,ACC_000404,ATM_000240,2024-06-03 11:03:27.294030878,55220.91,19.14182262226751,72.94805715683843,2.408,1.614,1,1
WD_000168,CASE_000168,ACC_001288,ATM_000004,2025-12-15 01:40:35.200773330,2723.83,13.072762724653366,80.26387571924367,6.561,5.788,1,1
WD_000169,CASE_000169,ACC_001300,ATM_000313,2026-04-12 14:51:20.320035447,4772.39,18.456075024739004,73.79326097893265,2.853,1.672,1,1
WD_000170,CASE_000170,ACC_000023,ATM_000006,2026-04-23 07:23:21.205320321,13221.26,22.778458741462313,75.93860984345183,5.375,4.18,1,1
WD_000171,CASE_000171,ACC_000093,ATM_000176,2024-09-28 22:11:58.623874598,85628.8,19.033545538500235,72.84141876415256,6.01,5.306,1,1
WD_000172,CASE_000172,ACC_001300,ATM_000313,2026-02-04 16:02:44.325277100,4260.87,18.456075024739004,73.79326097893265,2.822,2.283,1,1
WD_000173,CASE_000173,ACC_001350,ATM_000238,2025-05-03 17:33:06.781728200,16320.63,22.507977612888034,88.40945837621726,5.298,4.647,1,1
WD_000174,CASE_000174,ACC_001308,ATM_000083,2026-01-19 15:30:18.172576150,6927.44,23.08093017221658,72.54410723265323,1.984,0.883,1,1
WD_000175,CASE_000175,ACC_000011,ATM_000146,2025-05-15 02:15:26.390089942,2492.71,18.521843319164628,73.90778304556412,12.808,10.737,1,1
WD_000176,CASE_000176,ACC_000052,ATM_000135,2024-05-13 16:22:22.512466879,50035.0,17.385162348910296,78.48549670598813,18.564,17.733,1,1
WD_000177,CASE_000177,ACC_001350,ATM_000338,2024-03-13 12:05:17.491606363,9326.22,13.053623755779812,80.28596260821823,8.032,4.782,1,1
WD_000178,CASE_000178,ACC_001592,ATM_000246,2026-05-22 17:34:45.017703186,712.45,26.8694817950312,75.87953477374165,16.94,14.771,1,1
WD_000179,CASE_000179,ACC_000961,ATM_000193,2025-01-23 02:08:04.691016625,2460.63,19.227301543694644,72.94420584887054,4.388,3.498,1,1
