complaint_id,cluster_id,chain_accounts,cashout_account_id,pattern_used
CASE_000187,CLUSTER_0025,ACC_001635|ACC_000093|ACC_001625|ACC_000093|ACC_001625,ACC_001625,A
CASE_000188,CLUSTER_0008,ACC_001700|ACC_001647|ACC_001507,ACC_001507,B
CASE_000189,CLUSTER_0027,ACC_001722|ACC_001117|ACC_000880,ACC_000880,D
CASE_000190,CLUSTER_0017,ACC_000076|ACC_001768|ACC_001296|ACC_000819,ACC_000819,D
CASE_000191,CLUSTER_0020,ACC_000331|ACC_000480|ACC_000775|ACC_000480,ACC_000480,B
CASE_000192,CLUSTER_0005,ACC_000116|ACC_001592|ACC_001788|ACC_000782,ACC_000782,B
CASE_000193,CLUSTER_0012,ACC_001671|ACC_000139|ACC_000767|ACC_000139,ACC_000139,A
CASE_000194,CLUSTER_0015,ACC_000085|ACC_001267|ACC_001050,ACC_001050,A
CASE_000195,CLUSTER_0026,ACC_000269|ACC_001238|ACC_001365|ACC_001629,ACC_001629,B
CASE_000196,CLUSTER_0023,ACC_000577|ACC_000267|ACC_000287|ACC_000533,ACC_000533,B
CASE_000197,CLUSTER_0025,ACC_000025|ACC_001625|ACC_001288|ACC_000467,ACC_000467,D
CASE_000198,CLUSTER_0023,ACC_001313|ACC_000533|ACC_001335,ACC_001335,E
CASE_000199,CLUSTER_0025,ACC_001320|ACC_000467|ACC_001625|ACC_000093,ACC_000093,A
CASE_000200,CLUSTER_0005,ACC_000901|ACC_001046|ACC_000820,ACC_000820,A
CASE_000201,CLUSTER_0025,ACC_000110|ACC_001288|ACC_001625|ACC_000467|ACC_001625,ACC_001625,D
CASE_000202,CLUSTER_0024,ACC_000280|ACC_001178|ACC_001558|ACC_000709,ACC_000709,B
CASE_000203,CLUSTER_0020,ACC_001701|ACC_000023|ACC_000775,ACC_000775,B
CASE_000204,CLUSTER_0023,ACC_001583|ACC_000366|ACC_000267|ACC_001335|ACC_000533,ACC_000533,D
CASE_000205,CLUSTER_0023,ACC_000798|ACC_000366|ACC_001335|ACC_000287,ACC_000287,D
CASE_000206,CLUSTER_0005,ACC_001274|ACC_001046|ACC_001788|ACC_001592|ACC_000309,ACC_000309,A
CASE_000207,CLUSTER_0012,ACC_001749|ACC_000767|ACC_001308,ACC_001308,A
CASE_000208,CLUSTER_0025,ACC_000110|ACC_001625|ACC_001288|ACC_000467|ACC_001625,ACC_001625,D
CASE_000209,CLUSTER_0012,ACC_001004|ACC_000139|ACC_000767,ACC_000767,B
CASE_000210,CLUSTER_0008,ACC_001066|ACC_001507|ACC_001647,ACC_001647,B
CASE_000211,CLUSTER_0023,ACC_001142|ACC_000287|ACC_000366,ACC_000366,D
CASE_000212,CLUSTER_0015,ACC_000054|ACC_001050|ACC_001267,ACC_001267,D
CASE_000213,CLUSTER_0025,ACC_001160|ACC_000093|ACC_001625|ACC_001288,ACC_001288,B
CASE_000214,CLUSTER_0020,ACC_000584|ACC_000480|ACC_000775|ACC_000023,ACC_000023,E
CASE_000215,CLUSTER_0027,ACC_000150|ACC_000880|ACC_001117,ACC_001117,D
CASE_000216,CLUSTER_0023,ACC_001129|ACC_000267|ACC_000366|ACC_000533,ACC_000533,A
CASE_000217,CLUSTER_0021,ACC_001148|ACC_000659|ACC_000404,ACC_000404,A
CASE_000218,CLUSTER_0020,ACC_001444|ACC_000775|ACC_000023|ACC_000775,ACC_000775,B
CASE_000219,CLUSTER_0006,ACC_000143|ACC_001065|ACC_001133,ACC_001133,B
CASE_000220,CLUSTER_0005,ACC_000661|ACC_000309|ACC_000820|ACC_000309,ACC_000309,B
CASE_000221,CLUSTER_0023,ACC_000897|ACC_000267|ACC_000366|ACC_001335|ACC_000267,ACC_000267,A
CASE_000222,CLUSTER_0023,ACC_001196|ACC_000366|ACC_001335|ACC_000267,ACC_000267,A
CASE_000223,CLUSTER_0010,ACC_000389|ACC_001350|ACC_000052,ACC_000052,A
CASE_000224,CLUSTER_0020,ACC_000454|ACC_000023|ACC_000775|ACC_000023,ACC_000023,E
CASE_000225,CLUSTER_0013,ACC_000462|ACC_000011|ACC_001300,ACC_001300,A
CASE_000226,CLUSTER_0023,ACC_000289|ACC_001335|ACC_000533|ACC_001335|ACC_000366,ACC_000366,A
CASE_000227,CLUSTER_0025,ACC_001258|ACC_000093|ACC_001625,ACC_001625,A
CASE_000228,CLUSTER_0017,ACC_001784|ACC_000819|ACC_001296|ACC_000819,ACC_000819,A
CASE_000229,CLUSTER_0023,ACC_001502|ACC_000287|ACC_000366,ACC_000366,D
CASE_000230,CLUSTER_0014,ACC_000065|ACC_001029|ACC_001393|ACC_001029,ACC_001029,D
CASE_000231,CLUSTER_0020,ACC_000423|ACC_000480|ACC_000023|ACC_000775,ACC_000775,B
CASE_000232,CLUSTER_0023,ACC_001186|ACC_000267|ACC_000287|ACC_001335,ACC_001335,A
CASE_000233,CLUSTER_0008,ACC_000257|ACC_001647|ACC_001507,ACC_001507,B
CASE_000234,CLUSTER_0003,ACC_001314|ACC_000823|ACC_001426,ACC_001426,E
CASE_000235,CLUSTER_0021,ACC_001370|ACC_000404|ACC_000659,ACC_000659,E
CASE_000236,CLUSTER_0023,ACC_000540|ACC_001335|ACC_000267|ACC_001335|ACC_000533,ACC_000533,E
CASE_000237,CLUSTER_0021,ACC_000443|ACC_000404|ACC_000659,ACC_000659,A
CASE_000238,CLUSTER_0010,ACC_000858|ACC_000052|ACC_001350,ACC_001350,A
CASE_000239,CLUSTER_0020,ACC_000625|ACC_000775|ACC_000023,ACC_000023,B
CASE_000240,CLUSTER_0016,ACC_000852|ACC_001762|ACC_000319,ACC_000319,B
CASE_000241,CLUSTER_0025,ACC_001317|ACC_000093|ACC_001625|ACC_000093|ACC_000467,ACC_000467,B
CASE_000242,CLUSTER_0023,ACC_001535|ACC_000267|ACC_001335|ACC_000533|ACC_000287,ACC_000287,D
CASE_000243,CLUSTER_0020,ACC_000399|ACC_000480|ACC_000775|ACC_000480,ACC_000480,B
CASE_000244,CLUSTER_0015,ACC_001719|ACC_001050|ACC_001267,ACC_001267,B
CASE_000245,CLUSTER_0013,ACC_000235|ACC_000011|ACC_001300,ACC_001300,D
CASE_000246,CLUSTER_0010,ACC_000538|ACC_000052|ACC_001350,ACC_001350,A
CASE_000247,CLUSTER_0023,ACC_000984|ACC_000267|ACC_000366,ACC_000366,A
CASE_000248,CLUSTER_0020,ACC_000143|ACC_000775|ACC_000480|ACC_000023,ACC_000023,E
CASE_000249,CLUSTER_0008,ACC_000322|ACC_001647|ACC_001507,ACC_001507,A
CASE_000250,CLUSTER_0017,ACC_000901|ACC_000819|ACC_001768,ACC_001768,B
CASE_000251,CLUSTER_0023,ACC_000222|ACC_000533|ACC_000366|ACC_000267,ACC_000267,D
CASE_000252,CLUSTER_0010,ACC_000993|ACC_000052|ACC_001350,ACC_001350,A
CASE_000253,CLUSTER_0023,ACC_000145|ACC_001335|ACC_000267|ACC_001335,ACC_001335,A
CASE_000254,CLUSTER_0019,ACC_001767|ACC_001690|ACC_000753|ACC_001690,ACC_001690,A
CASE_000255,CLUSTER_0006,ACC_001619|ACC_001150|ACC_001133|ACC_000342,ACC_000342,D
CASE_000256,CLUSTER_0025,ACC_001186|ACC_001625|ACC_000467|ACC_000093,ACC_000093,D
CASE_000257,CLUSTER_0010,ACC_000048|ACC_001350|ACC_000052,ACC_000052,A
CASE_000258,CLUSTER_0005,ACC_001667|ACC_000309|ACC_001788|ACC_000309|ACC_001788,ACC_001788,A
CASE_000259,CLUSTER_0020,ACC_000760|ACC_000480|ACC_000775|ACC_000480,ACC_000480,A
CASE_000260,CLUSTER_0010,ACC_000550|ACC_001350|ACC_000052,ACC_000052,B
CASE_000261,CLUSTER_0005,ACC_001548|ACC_001592|ACC_001788|ACC_000820|ACC_001592,ACC_001592,A
CASE_000262,CLUSTER_0021,ACC_000345|ACC_000404|ACC_000659,ACC_000659,D
CASE_000263,CLUSTER_0008,ACC_001663|ACC_001507|ACC_001647,ACC_001647,B
CASE_000264,CLUSTER_0026,ACC_000596|ACC_001365|ACC_001629|ACC_001349|ACC_001238,ACC_001238,E
CASE_000265,CLUSTER_0024,ACC_001603|ACC_001178|ACC_001558|ACC_001178|ACC_000378,ACC_000378,D
CASE_000266,CLUSTER_0025,ACC_000244|ACC_001625|ACC_000093,ACC_000093,D
CASE_000267,CLUSTER_0021,ACC_001332|ACC_000659|ACC_000404,ACC_000404,B
CASE_000268,CLUSTER_0020,ACC_001274|ACC_000023|ACC_000480|ACC_000023,ACC_000023,B
CASE_000269,CLUSTER_0023,ACC_001205|ACC_000287|ACC_000267,ACC_000267,E
CASE_000270,CLUSTER_0020,ACC_001171|ACC_000480|ACC_000775|ACC_000023,ACC_000023,E
CASE_000271,CLUSTER_0024,ACC_001163|ACC_001085|ACC_001558,ACC_001558,B
CASE_000272,CLUSTER_0010,ACC_001320|ACC_000052|ACC_001350,ACC_001350,B
