complaint_id,complaint_timestamp,incident_timestamp,fraud_type,channel,reported_loss_amount,victim_state,victim_district,victim_city,victim_area,victim_pincode,victim_lat,victim_lon,victim_rural_urban,victim_bank,device_type,is_otp_shared,clicked_malicious_link,urgency_score,account_age_months,num_transactions,fraud_description_category
CASE_000013,2025-08-23 12:03:38.144506217,2025-08-23 02:45:00.662028655,UPI Fraud,UPI,3263.82,Delhi,New Delhi,Delhi,Area-1,71930,28.530886069944728,77.20441614097794,Semi-Urban,Axis Bank,Android,0,0,0.318,181,4,UPI Fraud
CASE_000014,2025-07-01 23:54:50.694386104,2025-07-01 21:47:22.630607955,Remote Access Scam,IMPS,125128.38,Karnataka,Bengaluru Urban,Bengaluru,Area-58,69496,13.083626072235235,77.54959398641307,Urban,Kotak Mahindra Bank,Android,0,0,0.653,88,4,Remote Access Scam
CASE_000015,2026-01-12 17:47:33.373540317,2026-01-12 16:58:09.692152940,UPI Fraud,UPI,25148.04,Karnataka,Bengaluru Urban,Bengaluru,Area-9,53476,12.898358196113794,77.63111160112516,Urban,Punjab National Bank,Android,1,0,0.107,80,4,UPI Fraud
CASE_000016,2024-03-03 07:45:17.558371142,2024-03-03 04:30:16.343232319,UPI Fraud,UPI,46545.38,Maharashtra,Mumbai City,Mumbai,Area-39,53345,19.169386847014994,72.88761488503413,Urban,Canara Bank,Android,1,0,0.726,56,5,UPI Fraud
CASE_000017,2025-09-21 12:19:41.137671493,2025-09-21 09:32:56.101825036,UPI Fraud,UPI,13003.89,Maharashtra,Pune,Pune,Area-41,45611,18.52462368888803,73.9085992457867,Semi-Urban,Bank of Baroda,iOS,0,0,0.763,187,2,UPI Fraud
CASE_000018,2025-10-14 00:51:39.958627468,2025-10-13 21:40:31.279263720,OTP Fraud,IMPS,39317.35,Karnataka,Bengaluru Urban,Bengaluru,Area-38,49230,12.95001387751262,77.59451553628237,Urban,Canara Bank,iOS,0,0,0.536,69,4,OTP Fraud
CASE_000019,2024-09-07 18:32:20.220512469,2024-09-07 16:10:33.060733538,Card Fraud,ATM,5060.46,Maharashtra,Mumbai City,Mumbai,Area-59,51818,19.03407785659356,72.8661407497803,Rural,Axis Bank,iOS,0,0,0.705,71,3,Card Fraud
CASE_000020,2024-06-27 09:15:19.971157502,2024-06-27 05:41:01.147777410,Marketplace Fraud (OLX/e-commerce),IMPS,8284.78,Uttar Pradesh,Lucknow,Lucknow,Area-33,64541,26.723386545642104,80.89899188906108,Rural,SBI,iOS,0,1,0.221,169,3,Marketplace Fraud (OLX/e-commerce)
CASE_000021,2024-07-13 23:09:19.725372087,2024-07-13 19:40:13.884131879,Loan App Scam,Card,21715.09,Maharashtra,Thane,Thane,Area-8,65609,19.19973902703795,72.89131034925637,Semi-Urban,Axis Bank,Feature Phone,0,0,0.748,124,4,Loan App Scam
CASE_000022,2024-06-29 13:22:40.007171609,2024-06-29 12:09:06.617077637,Fake Customer Care,Wallet,54339.85,Maharashtra,Thane,Navi Mumbai,Area-36,61855,19.027215373800704,73.06889545611725,Urban,Canara Bank,Desktop,0,1,0.112,179,6,Fake Customer Care
CASE_000023,2025-04-22 11:51:27.974708388,2025-04-22 03:58:25.758898288,UPI Fraud,UPI,14054.91,West Bengal,Kolkata,Kolkata,Area-18,71266,22.54155008160287,88.30712022275924,Semi-Urban,Bank of Baroda,Android,0,0,0.919,25,1,UPI Fraud
CASE_000024,2024-05-03 15:28:30.434150223,2024-05-03 13:20:01.218128907,Fake Customer Care,UPI,5968.55,Maharashtra,Mumbai City,Mumbai,Area-37,75257,19.043841228573683,72.76318077595481,Urban,Bank of Baroda,Android,1,0,0.883,230,4,Fake Customer Care
CASE_000025,2025-08-23 15:41:02.000924506,2025-08-23 14:37:33.866661638,OTP Fraud,Card,10619.86,Uttar Pradesh,Lucknow,Lucknow,Area-23,43478,26.770044657317325,80.99975870348558,Semi-Urban,Bank of Baroda,Android,0,1,0.571,57,4,OTP Fraud
CASE_000026,2024-04-05 20:53:09.186642068,2024-04-05 17:25:51.793161230,Fake Customer Care,UPI,1878.57,Tamil Nadu,Chennai,Chennai,Area-3,56806,13.02080449839993,80.3155577321209,Urban,Punjab National Bank,Desktop,1,1,0.362,29,3,Fake Customer Care
CASE_000027,2024-01-25 14:32:38.223293163,2024-01-25 11:54:54.344676390,UPI Fraud,Net Banking,770.42,Maharashtra,Mumbai City,Mumbai,Area-38,69152,19.127660298418274,72.99185449140782,Urban,SBI,Android,0,0,0.977,27,4,UPI Fraud
CASE_000028,2024-10-18 04:09:31.423537234,2024-10-17 20:57:42.699011493,UPI Fraud,Net Banking,24697.95,Tamil Nadu,Chennai,Chennai,Area-6,61814,13.004780078670498,80.31869926191884,Urban,Axis Bank,Android,0,1,0.872,75,6,UPI Fraud
CASE_000029,2024-06-23 22:11:48.169828290,2024-06-23 18:49:15.598917155,Marketplace Fraud (OLX/e-commerce),UPI,4587.57,Telangana,Hyderabad,Hyderabad,Area-20,71550,17.404912987540133,78.39811126979474,Semi-Urban,SBI,Android,0,0,0.313,102,5,Marketplace Fraud (OLX/e-commerce)
CASE_000030,2026-06-19 17:41:38.557579922,2026-06-19 16:06:25.846149743,UPI Fraud,Net Banking,7423.76,West Bengal,Kolkata,Kolkata,Area-37,66605,22.594163117247227,88.34886810881409,Semi-Urban,ICICI Bank,iOS,1,1,0.917,19,2,UPI Fraud
CASE_000031,2024-10-03 04:23:42.372976708,2024-10-03 00:42:40.020101428,Phishing,Net Banking,27155.95,Gujarat,Ahmedabad,Ahmedabad,Area-52,49607,23.010539225426726,72.56273258078255,Urban,Bank of Baroda,iOS,0,0,0.898,149,6,Phishing
CASE_000032,2024-07-21 10:50:07.933234185,2024-07-21 07:12:33.036702599,Investment Scam,UPI,161050.68,Tamil Nadu,Chennai,Chennai,Area-19,69150,13.042887630854507,80.39820923895275,Urban,Kotak Mahindra Bank,iOS,0,1,0.769,147,3,Investment Scam
CASE_000033,2024-06-28 09:29:15.660471848,2024-06-28 06:10:31.515552578,UPI Fraud,NEFT,17817.51,Telangana,Hyderabad,Hyderabad,Area-18,69324,17.351600035720928,78.40945861211311,Semi-Urban,HDFC Bank,iOS,1,1,0.651,186,4,UPI Fraud
CASE_000034,2024-12-06 17:33:48.122471962,2024-12-06 13:55:11.678244643,UPI Fraud,IMPS,82526.94,Maharashtra,Nagpur,Nagpur,Area-18,40779,21.142324344648888,79.02808647949865,Semi-Urban,Bank of Baroda,Desktop,0,1,0.243,4,3,UPI Fraud
CASE_000035,2025-07-05 23:17:21.562931265,2025-07-05 22:16:48.891106620,Social Engineering (Romance/Job),UPI,34410.09,Tamil Nadu,Chennai,Chennai,Area-34,56470,13.043387614213104,80.34175618443192,Semi-Urban,HDFC Bank,Android,0,1,0.396,24,3,Social Engineering (Romance/Job)
CASE_000036,2025-12-13 13:16:57.003335034,2025-12-13 08:27:05.377002910,Fake Customer Care,UPI,16560.18,Gujarat,Surat,Surat,Area-12,66603,21.17406437001652,72.82315874185397,Urban,HDFC Bank,Desktop,1,0,0.34,50,4,Fake Customer Care
CASE_000037,2024-11-28 07:17:39.414171639,2024-11-28 03:05:42.290356010,Fake Customer Care,UPI,15471.41,Telangana,Hyderabad,Hyderabad,Area-32,66949,17.48439926646936,78.53870017010573,Semi-Urban,Canara Bank,iOS,0,0,0.437,105,5,Fake Customer Care
CASE_000038,2025-07-24 10:53:41.598159554,2025-07-24 06:13:46.227559969,Phishing,UPI,2647.22,Tamil Nadu,Chennai,Chennai,Area-48,67141,13.111909620137183,80.27272930479285,Semi-Urban,Punjab National Bank,Android,1,0,0.245,141,2,Phishing
CASE_000039,2025-03-15 06:05:56.852619078,2025-03-15 03:45:27.417529896,UPI Fraud,UPI,28327.79,Delhi,New Delhi,Delhi,Area-5,49504,28.69175229469596,77.29545041137435,Urban,HDFC Bank,Desktop,0,1,0.318,49,3,UPI Fraud
CASE_000040,2026-02-10 06:06:05.459306451,2026-02-10 03:46:27.301743492,Investment Scam,UPI,2351.36,West Bengal,Kolkata,Kolkata,Area-57,60424,22.612810681639836,88.42885839242867,Urban,HDFC Bank,Desktop,1,0,0.834,86,6,Investment Scam
CASE_000041,2025-06-02 13:34:39.290634602,2025-06-02 09:31:45.896851294,Investment Scam,NEFT,18176.5,Madhya Pradesh,Indore,Indore,Area-32,47195,22.74667213131909,75.82976498673163,Urban,SBI,iOS,0,0,0.522,123,8,Investment Scam
CASE_000042,2024-09-21 04:43:13.728702891,2024-09-21 02:11:29.450272724,UPI Fraud,NEFT,10149.94,Maharashtra,Thane,Thane,Area-38,46954,19.214662745404446,72.98006320758483,Urban,Axis Bank,Desktop,1,1,0.589,131,6,UPI Fraud
CASE_000043,2025-10-03 01:49:58.617149049,2025-10-02 23:13:54.447403394,Card Fraud,IMPS,5397.15,Maharashtra,Thane,Navi Mumbai,Area-37,57964,19.015800188578424,73.14489544049559,Semi-Urban,SBI,Android,1,0,0.513,126,4,Card Fraud
CASE_000044,2026-01-17 07:17:54.313384055,2026-01-17 01:53:23.878085211,Social Engineering (Romance/Job),Card,12042.72,Karnataka,Bengaluru Urban,Bengaluru,Area-56,54380,12.950082891685915,77.60514748819007,Urban,Punjab National Bank,Android,1,1,0.699,154,3,Social Engineering (Romance/Job)
CASE_000045,2025-02-28 05:32:15.439565755,2025-02-28 00:23:40.270154394,Impersonation (Digital Arrest/Officer),IMPS,209595.03,Karnataka,Bengaluru Urban,Bengaluru,Area-40,61951,12.966072660929152,77.59900880729118,Urban,Axis Bank,Android,1,1,0.889,181,5,Impersonation (Digital Arrest/Officer)
CASE_000046,2026-06-18 12:18:26.508454910,2026-06-18 08:04:49.551322877,Phishing,IMPS,36670.81,Telangana,Hyderabad,Hyderabad,Area-53,64131,17.352544420566964,78.58818842984766,Urban,Bank of Baroda,Desktop,1,0,0.215,201,6,Phishing
CASE_000047,2026-03-12 04:52:55.139628752,2026-03-11 20:34:26.999899954,Investment Scam,Wallet,16290.75,Maharashtra,Mumbai City,Mumbai,Area-17,51981,19.10663052696978,72.9158410882831,Semi-Urban,HDFC Bank,iOS,0,0,0.592,231,4,Investment Scam
CASE_000048,2024-06-28 13:39:05.002345215,2024-06-28 10:13:00.831238700,UPI Fraud,IMPS,5904.54,Delhi,New Delhi,Delhi,Area-13,46851,28.584578060470918,77.15923809295633,Semi-Urban,HDFC Bank,Feature Phone,0,1,0.776,94,5,UPI Fraud
CASE_000049,2025-12-17 19:01:23.891343874,2025-12-17 17:37:49.399766304,Phishing,IMPS,2672.06,Telangana,Hyderabad,Hyderabad,Area-38,79292,17.4068259741054,78.51317506297436,Urban,SBI,iOS,0,0,0.434,79,5,Phishing
CASE_000050,2025-07-01 13:37:12.652788333,2025-07-01 11:11:52.823267832,Investment Scam,NEFT,75226.3,Telangana,Hyderabad,Hyderabad,Area-10,64638,17.403468620329498,78.36658612244533,Semi-Urban,SBI,iOS,0,1,0.749,67,6,Investment Scam
CASE_000051,2025-05-02 07:12:14.452430666,2025-05-02 05:06:51.174973786,Investment Scam,Card,26319.0,Tamil Nadu,Chennai,Chennai,Area-7,74817,13.094710216468512,80.31006439677336,Urban,SBI,Android,0,0,0.877,84,3,Investment Scam
CASE_000052,2025-04-13 06:33:58.445957453,2025-04-13 04:45:11.725112461,Impersonation (Digital Arrest/Officer),UPI,3185.95,Tamil Nadu,Chennai,Chennai,Area-13,42387,13.07938292119291,80.2417382271619,Semi-Urban,ICICI Bank,Android,1,0,0.735,129,3,Impersonation (Digital Arrest/Officer)
CASE_000053,2026-02-16 14:46:23.766079010,2026-02-16 10:58:52.412862107,OTP Fraud,UPI,11057.48,Telangana,Hyderabad,Hyderabad,Area-16,80418,17.399300731759755,78.44555285677417,Semi-Urban,Kotak Mahindra Bank,Android,1,0,0.811,145,3,OTP Fraud
CASE_000054,2025-07-10 16:29:52.964559120,2025-07-10 12:07:21.563705996,UPI Fraud,Net Banking,16040.58,West Bengal,Kolkata,Kolkata,Area-6,50665,22.591972147900904,88.38496541333039,Urban,Punjab National Bank,iOS,1,1,0.471,17,3,UPI Fraud
CASE_000055,2025-05-05 01:06:45.740641342,2025-05-04 20:24:13.165973403,UPI Fraud,UPI,28551.22,Telangana,Hyderabad,Hyderabad,Area-43,48232,17.421706635726377,78.5100205886908,Rural,ICICI Bank,Android,0,0,0.46,239,5,UPI Fraud
CASE_000056,2024-02-14 15:17:32.953683483,2024-02-14 12:16:22.804888746,UPI Fraud,UPI,9129.9,Karnataka,Bengaluru Urban,Bengaluru,Area-35,74206,12.982249723567534,77.59101661889902,Urban,Canara Bank,Desktop,1,1,0.21,11,6,UPI Fraud
CASE_000057,2025-02-12 12:59:14.698809655,2025-02-12 09:41:38.199843958,UPI Fraud,UPI,6568.64,Telangana,Hyderabad,Hyderabad,Area-12,78324,17.364151882425748,78.49186546185233,Semi-Urban,Kotak Mahindra Bank,iOS,1,1,0.473,96,4,UPI Fraud
CASE_000058,2026-04-07 06:54:32.666682080,2026-04-07 05:25:14.565226734,Impersonation (Digital Arrest/Officer),UPI,246350.49,Maharashtra,Mumbai City,Mumbai,Area-17,44766,19.037480785343444,72.83416891217335,Urban,Kotak Mahindra Bank,Android,1,0,0.403,109,3,Impersonation (Digital Arrest/Officer)
CASE_000059,2025-10-10 13:35:49.756139048,2025-10-10 09:24:42.661406696,OTP Fraud,ATM,9969.09,Maharashtra,Pune,Pune,Area-55,47429,18.637979861969292,73.87495297117572,Semi-Urban,Canara Bank,Desktop,1,0,0.536,83,3,OTP Fraud
CASE_000060,2024-02-16 10:12:41.716443199,2024-02-16 10:03:27.994391059,Fake Customer Care,Net Banking,26208.51,Karnataka,Bengaluru Urban,Bengaluru,Area-54,55556,12.970210973295858,77.60241581603884,Urban,Bank of Baroda,iOS,0,0,0.617,53,5,Fake Customer Care
CASE_000061,2026-03-16 12:00:38.702606505,2026-03-16 07:36:26.125021398,Remote Access Scam,UPI,9840.81,Rajasthan,Jaipur,Jaipur,Area-8,60275,26.88367670132011,75.78620713314824,Urban,Canara Bank,iOS,0,1,0.366,127,6,Remote Access Scam
CASE_000062,2026-01-23 04:55:50.807726996,2026-01-23 02:15:07.661476478,Investment Scam,Net Banking,73988.4,Tamil Nadu,Chennai,Chennai,Area-37,50274,13.175394382227289,80.1880872897471,Urban,ICICI Bank,Android,1,0,0.911,2,6,Investment Scam
CASE_000063,2025-05-13 05:33:37.893953224,2025-05-13 00:42:12.966322176,UPI Fraud,UPI,1995.82,Maharashtra,Mumbai City,Mumbai,Area-20,42684,19.059847340526076,73.00380775484194,Rural,Kotak Mahindra Bank,Android,1,1,0.39,178,7,UPI Fraud
CASE_000064,2024-01-21 14:19:22.443990734,2024-01-21 09:52:23.126683448,Investment Scam,IMPS,20837.07,Telangana,Hyderabad,Hyderabad,Area-22,60197,17.399472454251118,78.39168988299502,Urban,SBI,Android,1,1,0.899,163,3,Investment Scam
CASE_000065,2025-05-27 12:32:56.458985172,2025-05-27 08:57:40.207287662,Phishing,Card,2881.91,Maharashtra,Pune,Pune,Area-36,54700,18.50337071440979,73.82751124539355,Urban,ICICI Bank,Android,1,0,0.678,185,2,Phishing
CASE_000066,2024-02-19 23:01:31.073393389,2024-02-19 17:32:05.955328969,Fake Customer Care,UPI,6104.92,West Bengal,Kolkata,Kolkata,Area-59,52460,22.615090780168327,88.40460779640885,Urban,Canara Bank,iOS,1,0,0.581,196,4,Fake Customer Care
CASE_000067,2024-10-19 08:35:38.745272109,2024-10-18 20:45:56.064649940,Investment Scam,Card,137074.52,Gujarat,Ahmedabad,Ahmedabad,Area-35,71703,23.01481689306069,72.60126891283765,Semi-Urban,HDFC Bank,Desktop,1,1,0.712,213,4,Investment Scam
CASE_000068,2025-07-27 07:05:53.286906259,2025-07-26 22:28:47.667682141,UPI Fraud,UPI,5046.46,Telangana,Hyderabad,Hyderabad,Area-57,70443,17.386323742853026,78.50485571027744,Urban,Punjab National Bank,Desktop,1,1,0.308,36,3,UPI Fraud
CASE_000069,2026-04-11 18:44:22.024371531,2026-04-11 15:55:53.997599497,Phishing,IMPS,23989.99,Telangana,Hyderabad,Hyderabad,Area-49,60860,17.336960742263695,78.50571147871777,Urban,ICICI Bank,Android,1,1,0.347,200,6,Phishing
CASE_000070,2024-11-22 01:37:32.963040608,2024-11-21 22:50:37.726948474,UPI Fraud,Wallet,52522.23,Maharashtra,Nagpur,Nagpur,Area-46,77149,21.094463551435226,79.02550133302321,Rural,SBI,Feature Phone,0,0,0.672,135,1,UPI Fraud
CASE_000071,2026-02-22 19:35:03.424668213,2026-02-22 11:33:35.960269764,Fake Customer Care,Wallet,11521.69,Delhi,New Delhi,Delhi,Area-47,76903,28.56945482334932,77.23150837605715,Urban,HDFC Bank,Android,0,0,0.299,30,2,Fake Customer Care
CASE_000072,2026-04-16 17:58:22.416909698,2026-04-16 15:02:42.473028794,UPI Fraud,UPI,29529.46,Rajasthan,Jaipur,Jaipur,Area-47,80341,26.915232984904197,75.87981459702168,Urban,Punjab National Bank,Android,0,0,0.57,236,1,UPI Fraud
CASE_000073,2024-01-20 05:56:13.097864775,2024-01-20 04:06:12.248347393,UPI Fraud,IMPS,17750.95,Tamil Nadu,Chennai,Chennai,Area-16,61138,13.069347008627147,80.2319523577393,Semi-Urban,Bank of Baroda,iOS,0,1,0.427,195,4,UPI Fraud
CASE_000074,2024-08-06 08:37:33.280300599,2024-08-06 02:51:00.880636856,UPI Fraud,NEFT,11249.52,Karnataka,Bengaluru Urban,Bengaluru,Area-58,44605,12.931293040811026,77.57032347220503,Urban,Bank of Baroda,Desktop,1,0,0.569,65,5,UPI Fraud
CASE_000075,2025-10-08 20:08:47.136448506,2025-10-08 16:25:45.517116122,OTP Fraud,NEFT,22591.91,Delhi,New Delhi,Delhi,Area-55,48301,28.50783800012958,77.19426600802394,Urban,HDFC Bank,Desktop,1,1,0.209,213,2,OTP Fraud
CASE_000076,2025-11-20 12:22:20.139019003,2025-11-20 11:36:58.658008486,Impersonation (Digital Arrest/Officer),UPI,209724.77,Maharashtra,Mumbai City,Mumbai,Area-36,52512,18.964179874932135,72.83558987417106,Urban,ICICI Bank,iOS,0,0,0.423,175,5,Impersonation (Digital Arrest/Officer)
CASE_000077,2024-12-23 14:05:28.557849893,2024-12-23 11:48:07.247324415,Remote Access Scam,Net Banking,8837.78,Maharashtra,Thane,Thane,Area-42,46821,19.225943420034046,73.02347003891131,Semi-Urban,SBI,Android,0,1,0.804,107,4,Remote Access Scam
CASE_000078,2025-08-21 08:11:46.025801032,2025-08-21 07:16:58.273196526,Phishing,UPI,3790.26,Maharashtra,Thane,Navi Mumbai,Area-52,68811,19.000305661162983,72.9556832853077,Rural,SBI,Android,0,0,0.703,39,3,Phishing
CASE_000079,2025-07-11 16:24:18.843868515,2025-07-11 16:14:09.636012733,UPI Fraud,UPI,3230.18,Delhi,New Delhi,Delhi,Area-10,79639,28.58531663946632,77.236808694101,Semi-Urban,Axis Bank,Android,1,1,0.691,175,3,UPI Fraud
CASE_000080,2025-11-05 07:51:31.450904537,2025-11-04 22:26:23.137604065,OTP Fraud,IMPS,29550.94,Gujarat,Surat,Surat,Area-4,55979,21.165485938168654,72.83694654569922,Semi-Urban,Punjab National Bank,iOS,1,0,0.432,223,9,OTP Fraud
CASE_000081,2025-10-16 19:58:06.745832463,2025-10-16 16:44:52.311189637,UPI Fraud,Net Banking,34279.55,Karnataka,Bengaluru Urban,Bengaluru,Area-59,64516,13.030342954533632,77.67727929892304,Urban,ICICI Bank,Android,0,1,0.933,47,7,UPI Fraud
CASE_000082,2024-03-19 07:50:15.593739610,2024-03-19 05:28:44.858140538,UPI Fraud,UPI,5482.19,Maharashtra,Pune,Pune,Area-33,57135,18.50143856208833,73.84276984582779,Urban,SBI,Android,0,0,0.451,1,4,UPI Fraud
CASE_000083,2024-05-24 05:56:18.071517822,2024-05-24 03:58:55.041864572,Impersonation (Digital Arrest/Officer),NEFT,2643.88,Maharashtra,Mumbai City,Mumbai,Area-43,81836,19.03003087222413,72.8411013030297,Urban,HDFC Bank,Android,1,0,0.655,55,2,Impersonation (Digital Arrest/Officer)
CASE_000084,2024-05-01 00:55:00.490144612,2024-04-30 21:56:46.851639666,UPI Fraud,Net Banking,4711.53,Maharashtra,Nagpur,Nagpur,Area-30,70298,21.11042859922728,79.14771156165075,Urban,Axis Bank,iOS,0,0,0.752,71,2,UPI Fraud
CASE_000085,2026-04-29 13:40:48.321835739,2026-04-29 11:44:39.289356217,UPI Fraud,ATM,18081.41,Gujarat,Ahmedabad,Ahmedabad,Area-31,79258,23.038371979741132,72.55051365848509,Urban,ICICI Bank,iOS,1,0,0.58,91,5,UPI Fraud
CASE_000086,2026-04-12 06:57:02.971947608,2026-04-12 05:41:47.268923119,OTP Fraud,NEFT,9196.74,Delhi,New Delhi,Delhi,Area-3,50162,28.621112536619496,77.19698505488256,Semi-Urban,Kotak Mahindra Bank,Android,1,0,0.47,234,5,OTP Fraud
CASE_000087,2025-12-27 12:39:14.502275731,2025-12-27 10:37:18.704885349,Investment Scam,NEFT,42240.95,West Bengal,Kolkata,Kolkata,Area-18,52394,22.60901378548587,88.39613048552826,Urban,Punjab National Bank,Android,0,0,0.749,231,4,Investment Scam
CASE_000088,2024-04-16 15:26:12.285298800,2024-04-16 07:56:04.598229028,Phishing,IMPS,6121.92,Gujarat,Ahmedabad,Ahmedabad,Area-6,74393,22.978937942124713,72.43983078675363,Urban,Canara Bank,iOS,0,0,0.516,161,2,Phishing
CASE_000089,2025-06-07 09:33:23.976347011,2025-06-07 03:52:17.105958574,Phishing,UPI,33216.71,Maharashtra,Mumbai City,Mumbai,Area-26,81372,19.01069200944491,72.93211653408595,Urban,HDFC Bank,iOS,0,0,0.745,52,3,Phishing
CASE_000090,2024-06-19 15:38:41.117809093,2024-06-19 13:36:37.471782641,Card Fraud,UPI,18767.37,Telangana,Hyderabad,Hyderabad,Area-2,62633,17.436541840032724,78.48660323492726,Urban,ICICI Bank,Android,0,0,0.46,51,7,Card Fraud
CASE_000091,2024-12-02 00:24:09.914183185,2024-12-01 14:20:47.078828368,UPI Fraud,Wallet,18865.87,Gujarat,Surat,Surat,Area-48,75775,21.171021795596356,72.83666947796189,Urban,SBI,Android,0,1,0.366,20,5,UPI Fraud
CASE_000092,2024-08-31 10:27:56.191317650,2024-08-31 07:41:01.220641427,UPI Fraud,UPI,11789.59,Delhi,New Delhi,Delhi,Area-18,77943,28.598437639068127,77.29970930838195,Urban,SBI,Desktop,0,0,0.251,190,12,UPI Fraud
CASE_000093,2026-01-25 05:16:03.104005449,2026-01-25 03:44:49.125271037,Impersonation (Digital Arrest/Officer),Net Banking,49336.74,Maharashtra,Mumbai City,Mumbai,Area-44,45184,19.064348523577912,72.88239343043173,Urban,Canara Bank,iOS,0,0,0.608,53,8,Impersonation (Digital Arrest/Officer)
CASE_000094,2024-05-11 18:07:27.143587388,2024-05-11 14:17:07.436721802,Impersonation (Digital Arrest/Officer),Card,45892.1,Uttar Pradesh,Lucknow,Lucknow,Area-4,59235,26.83809848172223,81.02780612228494,Urban,Axis Bank,Android,1,1,0.911,215,7,Impersonation (Digital Arrest/Officer)
CASE_000095,2025-08-12 00:22:08.674529750,2025-08-11 16:03:40.832966506,Loan App Scam,UPI,5705.13,Rajasthan,Jaipur,Jaipur,Area-2,61630,26.876179273465233,75.6808288693607,Semi-Urban,Bank of Baroda,iOS,0,0,0.62,144,7,Loan App Scam
CASE_000096,2026-06-15 15:08:13.427057537,2026-06-15 07:52:22.543687597,Phishing,UPI,16410.55,Karnataka,Bengaluru Urban,Bengaluru,Area-25,51188,12.914770090834251,77.60162946546691,Semi-Urban,ICICI Bank,iOS,1,0,0.369,117,2,Phishing
CASE_000097,2025-09-17 23:20:55.100959634,2025-09-17 21:45:41.069726788,UPI Fraud,Net Banking,23639.14,Karnataka,Bengaluru Urban,Bengaluru,Area-47,81433,12.978962059751602,77.6354274533283,Semi-Urban,SBI,Android,0,1,0.283,223,4,UPI Fraud
