complaint_id,reported_loss_amount,amount_deviation_z,transaction_count_deviation,velocity_1h,velocity_24h,unusual_time_of_day,new_beneficiary_anomaly,sudden_degree_change,is_otp_shared,clicked_malicious_link,urgency_score
CASE_000143,14536.19,0.0084,-1,0,2,0,0,1,1,0,0.898
CASE_000144,49009.74,0.379,1,0,4,0,0,0,1,1,0.698
CASE_000145,57832.65,0.4738,-1,0,2,0,0,0,0,1,0.589
CASE_000146,26144.09,0.1332,0,2,3,1,0,1,0,1,0.524
CASE_000149,61535.7,0.5137,1,1,4,0,0,1,0,0,0.616
CASE_000150,12393.27,-0.0146,1,0,4,0,0,0,1,0,0.759
CASE_000152,35869.33,0.2378,3,2,6,0,1,0,0,0,0.162
CASE_000153,6347.93,-0.0796,-1,2,2,1,0,0,0,1,0.45
CASE_000154,2506.18,-0.1209,1,4,4,0,0,0,0,1,0.362
CASE_000155,59594.36,0.4928,-1,0,2,0,0,1,1,0,0.181
CASE_000156,7890.18,-0.063,0,0,3,0,0,0,1,0,0.48
CASE_000157,9177.25,-0.0492,-1,2,2,0,0,0,1,1,0.217
CASE_000158,17164.46,0.0367,2,1,5,0,1,0,1,0,0.884
CASE_000160,1153.56,-0.1354,-3,0,0,0,0,0,0,0,0.595
CASE_000165,8276.41,-0.0589,1,0,4,0,0,0,1,0,0.561
CASE_000166,19667.42,0.0636,-1,0,2,0,1,0,0,0,0.357
CASE_000168,5242.96,-0.0915,0,0,3,0,0,0,0,0,0.228
CASE_000170,19118.68,0.0577,0,0,3,0,0,0,0,0,0.674
CASE_000173,22767.05,0.0969,-1,0,2,0,0,0,1,0,0.556
CASE_000175,11102.33,-0.0285,-2,1,1,0,0,0,0,0,0.414
CASE_000176,68411.09,0.5876,0,0,3,1,0,0,0,1,0.605
CASE_000177,18344.83,0.0494,-1,2,2,0,1,1,0,0,0.421
CASE_000178,5908.73,-0.0843,4,2,7,1,0,0,1,1,0.059
CASE_000180,18642.76,0.0526,1,0,4,0,0,0,1,0,0.359
CASE_000181,5877.09,-0.0847,1,0,4,0,0,0,0,1,0.635
CASE_000182,6896.23,-0.0737,0,0,3,0,0,0,0,1,0.457
CASE_000184,11999.97,-0.0188,-1,2,2,1,0,1,0,0,0.466
CASE_000185,4300.23,-0.1016,-1,0,2,0,0,1,1,1,0.278
CASE_000186,15258.85,0.0162,-2,0,1,0,0,1,0,0,0.65
CASE_000187,16751.49,0.0322,-1,2,2,0,1,0,0,1,0.372
CASE_000188,5901.71,-0.0844,-3,0,0,1,1,0,1,0,0.354
CASE_000189,15202.86,0.0156,-1,2,2,0,0,0,0,0,0.789
CASE_000190,297778.59,3.0532,-3,0,0,0,0,0,1,1,0.519
CASE_000192,3104.17,-0.1145,-2,1,1,0,0,0,0,0,0.66
CASE_000193,3619.56,-0.1089,-1,2,2,0,0,0,0,1,0.137
CASE_000194,10801.27,-0.0317,2,0,5,0,0,0,1,0,0.807
CASE_000197,16747.53,0.0322,-2,0,1,0,0,0,0,0,0.626
CASE_000198,89024.25,0.8091,2,0,5,1,0,0,0,0,0.441
CASE_000199,34243.49,0.2203,3,0,6,0,0,0,0,1,0.738
CASE_000200,34436.67,0.2224,-1,0,2,0,0,0,1,1,0.649
CASE_000201,61403.73,0.5122,4,2,7,0,0,0,1,0,0.497
CASE_000202,18137.26,0.0471,1,0,4,0,0,0,1,1,0.712
CASE_000203,88849.33,0.8073,1,1,4,0,0,0,0,0,0.51
CASE_000204,3886.75,-0.106,1,2,4,0,0,0,0,0,0.545
CASE_000206,9335.6,-0.0475,1,0,4,0,0,0,0,0,0.719
CASE_000207,20475.79,0.0723,0,0,3,1,0,1,0,0,0.347
CASE_000208,3287.8,-0.1125,-1,1,2,0,0,0,1,0,0.263
CASE_000209,3580.7,-0.1093,-1,0,2,0,0,0,0,1,0.734
CASE_000211,682.33,-0.1405,-1,2,2,1,0,0,1,0,0.8
CASE_000212,9953.69,-0.0408,1,4,4,0,0,0,0,0,0.458
CASE_000213,6226.31,-0.0809,0,0,3,0,0,0,1,0,0.208
CASE_000214,66080.68,0.5625,3,0,6,1,0,1,0,1,0.65
CASE_000217,16734.26,0.0321,-2,0,1,0,0,0,1,1,0.776
CASE_000218,13762.56,0.0001,3,0,6,0,1,0,1,0,0.109
CASE_000219,50744.18,0.3977,0,0,3,0,0,0,0,0,0.66
CASE_000220,14019.83,0.0029,2,0,5,1,0,0,0,1,0.616
CASE_000221,15693.88,0.0209,0,3,3,0,0,0,1,1,0.597
CASE_000223,5428.27,-0.0895,2,0,5,0,0,0,1,1,0.507
CASE_000224,13873.06,0.0013,-1,1,2,0,0,0,0,0,0.355
CASE_000225,43302.11,0.3177,-1,0,2,0,0,1,0,0,0.288
CASE_000227,108913.89,1.023,-1,2,2,0,0,0,1,1,0.366
CASE_000228,152076.44,1.4869,-1,2,2,1,0,0,0,0,0.209
CASE_000230,26008.55,0.1318,2,2,5,0,0,1,0,1,0.279
CASE_000231,2841.46,-0.1173,0,0,3,0,0,0,0,1,0.412
CASE_000234,20259.78,0.07,1,0,4,0,0,0,1,0,0.18
CASE_000235,3109.68,-0.1144,0,0,3,0,0,0,0,0,0.897
CASE_000236,14570.65,0.0088,3,0,6,0,0,1,0,0,0.51
CASE_000238,20758.79,0.0753,-1,0,2,1,0,0,0,1,0.561
CASE_000239,4667.63,-0.0977,-1,0,2,1,0,0,1,0,0.813
CASE_000240,102526.49,0.9543,-1,2,2,0,0,0,1,0,0.72
CASE_000241,169927.13,1.6788,3,0,6,0,0,0,0,1,0.504
CASE_000244,500.0,-0.1425,2,5,5,0,0,0,0,0,0.581
CASE_000245,20650.01,0.0742,-1,0,2,1,0,0,0,0,0.55
CASE_000246,1265.0,-0.1342,-1,2,2,0,1,0,0,1,0.57
CASE_000248,1634.35,-0.1303,3,0,6,0,0,0,1,0,0.297
CASE_000249,21860.72,0.0872,0,0,3,0,0,0,0,0,0.919
CASE_000251,1283.0,-0.134,0,3,3,0,0,0,0,0,0.646
CASE_000252,6664.65,-0.0762,1,0,4,0,0,1,0,0,0.911
CASE_000253,19693.76,0.0639,1,1,4,0,0,0,0,1,0.312
CASE_000254,61973.6,0.5184,-1,0,2,0,0,0,0,1,0.739
CASE_000255,19096.47,0.0575,0,2,3,0,0,1,0,0,0.599
CASE_000256,3253.16,-0.1129,-2,1,1,0,0,0,1,0,0.505
CASE_000258,54814.75,0.4414,1,2,4,0,0,0,0,0,0.289
CASE_000259,76005.79,0.6692,3,0,6,0,0,0,1,0,0.284
CASE_000261,8853.29,-0.0527,-3,0,0,0,0,0,0,0,0.328
CASE_000263,5476.49,-0.089,-1,0,2,0,0,0,0,0,0.128
CASE_000265,16438.46,0.0289,2,0,5,1,0,0,0,1,0.733
CASE_000268,8834.51,-0.0529,3,0,6,0,0,0,1,1,0.959
CASE_000269,11551.59,-0.0237,-2,0,1,0,0,0,0,0,0.797
CASE_000270,113545.12,1.0727,3,0,6,1,0,0,0,1,0.369
CASE_000271,34979.77,0.2282,1,0,4,0,0,1,0,0,0.412
CASE_000272,32969.56,0.2066,-1,0,2,0,0,0,1,1,0.197
CASE_000273,14351.66,0.0064,-2,1,1,1,0,0,0,0,0.738
CASE_000274,7440.26,-0.0678,-3,0,0,0,0,0,1,0,0.872
CASE_000275,10034.74,-0.04,1,0,4,1,0,0,1,0,0.67
CASE_000276,5490.74,-0.0888,-3,0,0,0,0,1,0,0,0.556
CASE_000277,7910.22,-0.0628,-1,0,2,0,1,0,0,0,0.231
CASE_000279,5334.57,-0.0905,1,0,4,0,0,0,1,0,0.74
CASE_000280,9898.1,-0.0414,2,0,5,0,0,0,1,0,0.546
CASE_000281,28056.38,0.1538,0,0,3,1,0,0,0,0,0.176
CASE_000283,36325.14,0.2427,-1,2,2,0,0,0,0,0,0.846
CASE_000284,10723.27,-0.0326,-1,0,2,0,0,1,1,0,0.663
CASE_000286,3043.18,-0.1151,-1,1,2,1,0,0,0,0,0.576
CASE_000287,22966.44,0.0991,2,0,5,1,0,0,0,1,0.393
CASE_000288,10426.2,-0.0358,-3,0,0,0,1,0,0,0,0.466
CASE_000289,74249.75,0.6503,-3,0,0,0,0,0,1,0,0.256
CASE_000290,22181.18,0.0906,-1,2,2,0,0,0,0,0,0.596
CASE_000293,10330.1,-0.0368,-3,0,0,0,0,0,0,0,0.04
CASE_000294,75808.69,0.6671,-1,0,2,0,0,0,1,0,0.707
CASE_000295,3727.5,-0.1078,-1,0,2,1,0,0,0,0,0.577
CASE_000296,28616.68,0.1598,0,0,3,0,0,0,1,0,0.486
CASE_000297,22173.42,0.0905,-1,0,2,0,0,1,0,1,0.723
CASE_000299,7583.55,-0.0663,-1,0,2,1,1,1,0,0,0.426
CASE_000300,2341.16,-0.1227,1,2,4,1,0,0,0,0,0.43
CASE_000302,69411.77,0.5983,1,1,4,0,0,0,0,1,0.717
CASE_000307,27657.44,0.1495,-1,0,2,0,0,0,1,1,0.539
CASE_000308,22198.37,0.0908,-2,1,1,0,0,0,1,0,0.589
CASE_000309,4603.59,-0.0983,1,4,4,0,0,0,0,0,0.144
CASE_000310,3549.39,-0.1097,-3,0,0,0,0,0,0,0,0.592
CASE_000311,10858.56,-0.0311,-1,0,2,0,0,0,0,0,0.345
CASE_000312,1448.18,-0.1323,2,0,5,0,0,0,0,1,0.861
CASE_000313,4852.74,-0.0957,1,4,4,1,0,0,1,0,0.398
CASE_000314,5652.71,-0.0871,0,0,3,0,0,0,1,0,0.357
CASE_000316,306698.27,3.1491,0,2,3,0,0,0,1,0,0.167
CASE_000318,217377.38,2.1889,0,3,3,0,0,0,1,1,0.907
CASE_000319,26805.98,0.1403,-1,0,2,0,0,0,0,0,0.487
CASE_000320,40627.85,0.2889,-1,0,2,1,0,0,1,0,0.79
CASE_000321,2087.42,-0.1254,0,2,3,0,0,0,0,0,0.223
CASE_000324,9250.06,-0.0484,-3,0,0,1,0,0,0,0,0.462
CASE_000326,10734.05,-0.0324,1,0,4,0,0,0,1,1,0.762
CASE_000327,25094.68,0.1219,-2,1,1,1,0,0,1,1,0.152
CASE_000328,21369.35,0.0819,-3,0,0,0,0,0,0,0,0.133
CASE_000329,126043.49,1.2071,1,0,4,1,0,0,1,0,0.404
CASE_000330,37854.11,0.2591,-3,0,0,1,0,0,1,1,0.458
CASE_000331,17112.39,0.0361,1,2,4,0,0,0,1,1,0.967
CASE_000332,40052.66,0.2827,0,3,3,0,0,0,0,1,0.766
CASE_000334,36588.26,0.2455,-1,0,2,0,0,1,0,0,0.566
CASE_000335,14346.25,0.0064,-2,1,1,1,1,1,0,1,0.928
CASE_000337,1919.11,-0.1272,2,0,5,0,1,0,0,0,0.658
CASE_000338,8877.3,-0.0524,0,3,3,0,0,0,0,0,0.276
CASE_000339,2207.59,-0.1241,2,5,5,0,0,0,1,0,0.157
CASE_000340,76982.51,0.6797,-1,2,2,0,1,0,1,0,0.684
CASE_000341,67982.99,0.583,0,0,3,0,0,1,0,0,0.458
CASE_000344,11429.43,-0.025,-1,0,2,0,0,0,0,0,0.88
CASE_000345,5281.53,-0.0911,-1,2,2,0,0,0,0,0,0.613
CASE_000350,92812.82,0.8499,3,6,6,0,0,1,1,0,0.872
CASE_000351,79817.78,0.7102,0,3,3,0,0,0,1,0,0.445
CASE_000353,48244.44,0.3708,0,0,3,0,1,1,0,0,0.276
CASE_000354,36716.83,0.2469,-3,0,0,0,0,0,1,0,0.265
CASE_000355,1109.19,-0.1359,-3,0,0,0,0,1,0,0,0.712
CASE_000357,21569.6,0.084,0,1,3,0,0,0,0,1,0.755
CASE_000358,5970.15,-0.0837,-1,0,2,1,0,0,0,0,0.785
CASE_000359,28391.45,0.1574,-1,2,2,0,0,0,0,0,0.639
CASE_000362,134557.92,1.2986,-1,0,2,0,0,0,0,1,0.537
CASE_000363,217814.8,2.1936,3,5,6,0,0,0,0,0,0.85
CASE_000364,9868.35,-0.0417,1,2,4,0,0,0,1,1,0.462
CASE_000365,16187.55,0.0262,2,5,5,0,0,0,0,0,0.743
CASE_000366,3701.03,-0.108,-2,0,1,0,0,0,0,0,0.598
CASE_000369,5153.68,-0.0924,-3,0,0,0,0,0,0,0,0.417
CASE_000370,29674.94,0.1712,1,2,4,0,0,0,1,1,0.664
CASE_000373,96481.16,0.8893,1,0,4,1,0,1,1,0,0.442
CASE_000375,8420.95,-0.0573,-1,0,2,1,0,1,0,0,0.699
CASE_000377,11943.8,-0.0194,-3,0,0,0,0,0,0,1,0.902
CASE_000378,5925.35,-0.0841,-1,2,2,0,0,0,0,0,0.861
CASE_000379,14664.81,0.0098,-1,0,2,0,0,0,1,0,0.179
CASE_000380,72505.12,0.6316,1,1,4,0,1,0,1,0,0.672
CASE_000381,22615.89,0.0953,1,0,4,0,0,0,0,0,0.797
CASE_000383,10698.62,-0.0328,-1,0,2,0,0,0,0,0,0.885
CASE_000386,16767.79,0.0324,-1,0,2,0,0,1,0,0,0.769
CASE_000387,17244.24,0.0375,-2,1,1,0,0,0,1,1,0.6
CASE_000389,6164.85,-0.0816,-3,0,0,0,0,0,1,0,0.609
CASE_000390,5243.65,-0.0915,1,0,4,0,1,0,0,1,0.669
CASE_000391,54722.29,0.4404,-3,0,0,1,0,0,1,0,0.68
CASE_000392,14866.14,0.012,-1,0,2,0,0,0,0,0,0.856
CASE_000393,11253.72,-0.0269,0,3,3,1,0,1,1,0,0.614
CASE_000394,8163.15,-0.0601,1,4,4,1,1,0,1,0,0.646
CASE_000395,96370.3,0.8881,1,0,4,0,0,0,1,0,0.528
CASE_000396,46693.2,0.3541,-1,0,2,1,0,0,0,0,0.572
CASE_000397,33675.6,0.2142,-1,0,2,0,0,0,1,1,0.582
CASE_000398,10190.63,-0.0383,0,3,3,1,0,0,1,0,0.73
CASE_000399,10614.11,-0.0337,1,0,4,0,0,0,0,0,0.217
CASE_000400,82267.74,0.7365,1,0,4,0,0,0,1,0,0.737
CASE_000402,5988.97,-0.0835,1,0,4,1,0,0,1,1,0.879
CASE_000403,47391.62,0.3616,-3,0,0,1,0,0,0,1,0.934
CASE_000404,15374.25,0.0174,0,0,3,1,0,0,0,0,0.839
CASE_000405,46712.81,0.3543,-2,0,1,0,0,0,1,1,0.782
CASE_000407,2514.16,-0.1208,0,0,3,0,0,0,0,0,0.437
CASE_000409,42116.57,0.3049,3,0,6,1,0,0,0,0,0.281
CASE_000412,62203.21,0.5208,-1,0,2,0,0,0,1,1,0.251
CASE_000413,35307.25,0.2317,0,0,3,0,0,0,1,1,0.365
CASE_000414,1768.39,-0.1288,-1,2,2,0,0,1,1,1,0.663
CASE_000415,24285.47,0.1132,3,0,6,0,0,1,0,0,0.708
CASE_000416,9924.0,-0.0412,2,0,5,1,0,0,0,0,0.88
CASE_000417,10807.37,-0.0317,1,4,4,0,0,0,0,1,0.453
CASE_000418,13952.18,0.0022,0,3,3,0,0,0,1,0,0.666
CASE_000419,34061.12,0.2183,2,0,5,0,1,0,0,0,0.737
CASE_000420,23151.33,0.101,-1,2,2,0,0,1,0,0,0.376
CASE_000421,5998.6,-0.0833,0,0,3,0,0,0,0,0,0.656
CASE_000422,23536.32,0.1052,1,0,4,1,0,0,0,0,0.444
CASE_000423,17726.02,0.0427,1,0,4,1,0,0,0,0,0.721
CASE_000424,16340.76,0.0278,-1,2,2,0,0,0,1,0,0.865
CASE_000425,33550.73,0.2128,-1,2,2,0,1,0,0,1,0.406
CASE_000426,13348.16,-0.0043,0,0,3,0,0,0,1,0,0.889
CASE_000431,144407.44,1.4045,0,2,3,0,0,0,0,0,0.595
CASE_000433,11426.33,-0.025,-1,2,2,1,0,0,1,1,0.764
CASE_000434,27500.56,0.1478,-1,0,2,0,0,0,1,0,0.425
CASE_000435,5595.47,-0.0877,0,0,3,1,0,0,0,0,0.58
CASE_000436,17468.94,0.04,-1,1,2,0,0,0,1,0,0.778
CASE_000437,10614.46,-0.0337,2,5,5,0,0,0,1,1,0.646
CASE_000438,10163.08,-0.0386,-1,1,2,0,0,0,1,0,0.572
CASE_000439,277290.85,2.8329,-1,2,2,0,0,0,0,0,0.5
CASE_000440,38697.45,0.2682,-1,0,2,0,0,1,1,0,0.237
CASE_000441,13394.08,-0.0038,0,2,3,0,0,0,1,0,0.608
CASE_000442,18599.49,0.0521,0,1,3,0,0,0,0,0,0.279
CASE_000443,5603.9,-0.0876,-1,2,2,1,1,1,1,0,0.706
CASE_000444,3439.84,-0.1109,0,3,3,1,0,0,0,0,0.338
CASE_000446,32000.07,0.1962,-1,1,2,0,0,0,1,0,0.219
CASE_000448,22510.95,0.0942,2,0,5,0,0,0,0,0,0.847
CASE_000450,70199.35,0.6068,-1,1,2,0,0,0,1,0,0.234
CASE_000451,15253.21,0.0161,2,3,5,0,0,0,1,0,0.677
CASE_000452,500.0,-0.1425,0,0,3,0,0,0,1,0,0.314
CASE_000453,496726.74,5.1918,0,0,3,0,1,0,0,0,0.661
CASE_000454,13315.43,-0.0047,0,0,3,1,0,0,0,1,0.44
CASE_000455,25990.66,0.1316,-1,0,2,0,0,1,1,0,0.697
CASE_000457,57797.81,0.4735,-1,2,2,0,0,1,1,0,0.2
CASE_000459,21734.74,0.0858,-2,1,1,0,0,0,0,1,0.514
CASE_000460,3326.21,-0.1121,-3,0,0,1,0,0,1,0,0.475
CASE_000462,62139.7,0.5201,2,0,5,0,0,0,1,0,0.776
CASE_000464,4887.73,-0.0953,1,0,4,0,0,1,1,1,0.376
CASE_000465,106164.03,0.9934,2,2,5,0,0,0,0,0,0.665
CASE_000469,6450.07,-0.0785,1,4,4,0,0,0,1,0,0.569
CASE_000470,2103.42,-0.1252,1,0,4,0,0,0,1,0,0.467
CASE_000473,25303.78,0.1242,-2,1,1,1,0,0,0,0,0.733
CASE_000480,11103.06,-0.0285,-1,0,2,0,0,0,0,0,0.495
CASE_000481,24501.78,0.1156,-1,0,2,0,0,0,0,0,0.923
CASE_000482,85553.27,0.7718,-1,0,2,0,0,0,0,0,0.746
CASE_000483,23569.67,0.1055,0,0,3,0,0,1,0,1,0.682
CASE_000484,11260.67,-0.0268,-1,0,2,1,1,1,0,1,0.32
CASE_000485,37629.82,0.2567,1,3,4,0,0,0,0,0,0.184
CASE_000489,3955.12,-0.1053,3,0,6,0,0,0,0,0,0.65
CASE_000491,5145.98,-0.0925,1,4,4,0,0,0,0,0,0.531
CASE_000492,23637.02,0.1063,0,1,3,1,0,0,0,1,0.625
CASE_000494,2088.11,-0.1254,-3,0,0,0,1,0,0,0,0.529
CASE_000496,12933.99,-0.0088,1,1,4,0,1,0,1,0,0.254
CASE_000498,55829.49,0.4523,-1,2,2,0,0,0,0,0,0.514
CASE_000499,7763.12,-0.0644,1,4,4,0,0,0,1,1,0.501
CASE_000500,12504.67,-0.0134,1,0,4,0,0,0,0,0,0.481
CASE_000501,12592.38,-0.0125,0,0,3,0,0,0,0,1,0.85
CASE_000503,10896.94,-0.0307,0,2,3,0,1,0,1,0,0.784
CASE_000504,9094.71,-0.0501,1,1,4,1,0,1,1,0,0.553
CASE_000508,1825.79,-0.1282,1,1,4,0,0,0,0,0,0.756
CASE_000509,17496.63,0.0403,-1,0,2,0,1,1,1,0,0.505
CASE_000510,6498.71,-0.078,-2,1,1,0,0,0,1,1,0.381
CASE_000511,8776.83,-0.0535,-2,1,1,1,0,0,0,0,0.551
CASE_000512,61786.31,0.5164,-1,2,2,1,0,0,0,0,0.697
CASE_000514,9428.56,-0.0465,-1,2,2,0,0,0,0,1,0.457
CASE_000515,103314.71,0.9628,1,0,4,0,0,1,1,1,0.385
CASE_000520,70309.3,0.608,3,2,6,0,0,0,0,0,0.83
CASE_000521,3863.72,-0.1063,2,0,5,0,0,0,0,0,0.464
