atm_id,atm_name,bank_name,state,district,city,area,pincode,latitude,longitude,location_type
ATM_000035,Bank of Baroda Railway Station ATM 35,Bank of Baroda,Karnataka,Bengaluru Urban,Bengaluru,Area-57,71190,12.970941707796804,77.59019717267921,Railway Station ATM
ATM_000036,Kotak Mahindra Bank Residential Complex ATM 36,Kotak Mahindra Bank,Maharashtra,Thane,Navi Mumbai,Area-28,44803,19.01308680550494,73.020278321365,Residential Complex ATM
ATM_000037,Canara Bank Railway Station ATM 37,Canara Bank,Maharashtra,Thane,Thane,Area-32,75947,19.219014344415665,72.96381770905222,Railway Station ATM
ATM_000038,Union Bank of India Market ATM 38,Union Bank of India,Karnataka,Bengaluru Urban,Bengaluru,Area-30,53120,13.025848086085105,77.58877860017694,Market ATM
ATM_000039,Yes Bank Residential Complex ATM 39,Yes Bank,Maharashtra,Pune,Pune,Area-5,82640,18.44998213174327,73.89797019591478,Residential Complex ATM
ATM_000040,SBI Residential Complex ATM 40,SBI,Tamil Nadu,Chennai,Chennai,Area-37,50786,13.014876324194478,80.26430193474677,Residential Complex ATM
ATM_000041,Punjab National Bank Railway Station ATM 41,Punjab National Bank,Delhi,New Delhi,Delhi,Area-43,78356,28.705631888669142,77.21720396371722,Railway Station ATM
ATM_000042,SBI Bank Branch ATM 42,SBI,Gujarat,Ahmedabad,Ahmedabad,Area-55,73808,23.027285447115542,72.55392522871009,Bank Branch ATM
ATM_000043,SBI Bank Branch ATM 43,SBI,Tamil Nadu,Chennai,Chennai,Area-55,61668,13.003922213179136,80.26036405904456,Bank Branch ATM
ATM_000044,ICICI Bank Bank Branch ATM 44,ICICI Bank,Maharashtra,Nashik,Nashik,Area-30,51935,19.980024097785513,73.8019390219631,Bank Branch ATM
ATM_000045,Canara Bank Bank Branch ATM 45,Canara Bank,Gujarat,Ahmedabad,Ahmedabad,Area-57,82981,23.04680517942798,72.58912303394615,Bank Branch ATM
ATM_000046,Yes Bank Market ATM 46,Yes Bank,Gujarat,Ahmedabad,Ahmedabad,Area-32,71138,23.081528414336862,72.51810777211162,Market ATM
ATM_000047,IDFC First Bank Residential Complex ATM 47,IDFC First Bank,Delhi,New Delhi,Delhi,Area-38,55499,28.530165832142718,77.28298021687472,Residential Complex ATM
ATM_000048,Canara Bank Market ATM 48,Canara Bank,Maharashtra,Nashik,Nashik,Area-36,81591,19.9703245206881,73.72566368017561,Market ATM
ATM_000049,IDFC First Bank Standalone Kiosk 49,IDFC First Bank,Tamil Nadu,Chennai,Chennai,Area-59,63231,13.086181904283295,80.27557966805446,Standalone Kiosk
ATM_000050,ICICI Bank Railway Station ATM 50,ICICI Bank,Maharashtra,Thane,Thane,Area-44,74402,19.28299302697493,72.96121863966702,Railway Station ATM
ATM_000051,Yes Bank Petrol Station ATM 51,Yes Bank,Maharashtra,Thane,Navi Mumbai,Area-8,43987,19.03498986988828,73.03406186976342,Petrol Station ATM
ATM_000052,Yes Bank Standalone Kiosk 52,Yes Bank,Maharashtra,Mumbai City,Mumbai,Area-5,48114,19.105798349312856,72.97379683545773,Standalone Kiosk
ATM_000053,HDFC Bank University ATM 53,HDFC Bank,West Bengal,Kolkata,Kolkata,Area-25,43506,22.62111879618164,88.29955231607082,University ATM
ATM_000054,Bank of Baroda Residential Complex ATM 54,Bank of Baroda,Tamil Nadu,Chennai,Chennai,Area-31,44857,13.098663542145438,80.2606685689505,Residential Complex ATM
ATM_000055,IDFC First Bank Mall ATM 55,IDFC First Bank,Tamil Nadu,Chennai,Chennai,Area-40,62391,13.085036148706607,80.28059344946895,Mall ATM
ATM_000056,Bank of Baroda Bank Branch ATM 56,Bank of Baroda,West Bengal,Kolkata,Kolkata,Area-29,40531,22.553114682698816,88.36795275956757,Bank Branch ATM
ATM_000057,Yes Bank Railway Station ATM 57,Yes Bank,Delhi,New Delhi,Delhi,Area-31,46979,28.602932299817006,77.08895938394815,Railway Station ATM
ATM_000058,IndusInd Bank Mall ATM 58,IndusInd Bank,Telangana,Hyderabad,Hyderabad,Area-55,52526,17.42078761520513,78.45075277349024,Mall ATM
ATM_000059,Bank of Baroda Residential Complex ATM 59,Bank of Baroda,Maharashtra,Thane,Thane,Area-20,40217,19.156855072570554,73.03993894632441,Residential Complex ATM
ATM_000060,SBI Mall ATM 60,SBI,Maharashtra,Mumbai City,Mumbai,Area-30,48146,19.00759210751052,72.86992999783358,Mall ATM
ATM_000061,Punjab National Bank Petrol Station ATM 61,Punjab National Bank,Tamil Nadu,Chennai,Chennai,Area-33,71949,13.079480635064519,80.20725452795836,Petrol Station ATM
ATM_000062,ICICI Bank Market ATM 62,ICICI Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-28,82338,12.969744704543817,77.57861234021964,Market ATM
ATM_000063,Bank of Baroda Bank Branch ATM 63,Bank of Baroda,Karnataka,Bengaluru Urban,Bengaluru,Area-58,73553,12.992629096535614,77.49189143434175,Bank Branch ATM
ATM_000064,Canara Bank Bus Terminal ATM 64,Canara Bank,West Bengal,Kolkata,Kolkata,Area-57,41181,22.543117157231535,88.3488916690425,Bus Terminal ATM
ATM_000065,Bank of Baroda Standalone Kiosk 65,Bank of Baroda,Telangana,Hyderabad,Hyderabad,Area-31,63480,17.434467960954702,78.52670763185954,Standalone Kiosk
ATM_000066,ICICI Bank Standalone Kiosk 66,ICICI Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-27,40936,13.03389423523437,77.55055075170849,Standalone Kiosk
ATM_000067,Axis Bank Mall ATM 67,Axis Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-35,71551,13.018204834127848,77.54074468340339,Mall ATM
ATM_000068,Union Bank of India Railway Station ATM 68,Union Bank of India,Maharashtra,Nashik,Nashik,Area-11,82973,20.02776437261695,73.68649367415586,Railway Station ATM
ATM_000069,SBI Petrol Station ATM 69,SBI,Maharashtra,Mumbai City,Mumbai,Area-26,81332,19.08899081210344,72.88766865769026,Petrol Station ATM
ATM_000070,ICICI Bank Bank Branch ATM 70,ICICI Bank,Delhi,New Delhi,Delhi,Area-13,77553,28.629432248344212,77.26905065412222,Bank Branch ATM
ATM_000071,Yes Bank Residential Complex ATM 71,Yes Bank,Maharashtra,Pune,Pune,Area-9,71872,18.518644120823534,73.81067215987761,Residential Complex ATM
ATM_000072,HDFC Bank Bank Branch ATM 72,HDFC Bank,Delhi,New Delhi,Delhi,Area-6,47502,28.66462062286966,77.21746011662675,Bank Branch ATM
ATM_000073,Punjab National Bank Bank Branch ATM 73,Punjab National Bank,Gujarat,Ahmedabad,Ahmedabad,Area-35,45351,23.035278731188015,72.56957719916596,Bank Branch ATM
ATM_000074,ICICI Bank Market ATM 74,ICICI Bank,Maharashtra,Pune,Pune,Area-1,57869,18.510012076811666,73.8673639449096,Market ATM
ATM_000075,HDFC Bank Market ATM 75,HDFC Bank,Maharashtra,Mumbai City,Mumbai,Area-39,77450,19.07023940137228,72.84648047877309,Market ATM
ATM_000076,Bank of Baroda Market ATM 76,Bank of Baroda,Maharashtra,Pune,Pune,Area-26,54577,18.54545811515855,73.83414983848944,Market ATM
ATM_000077,Kotak Mahindra Bank Mall ATM 77,Kotak Mahindra Bank,Maharashtra,Nashik,Nashik,Area-22,79977,19.961013614778327,73.8200624868421,Mall ATM
ATM_000078,ICICI Bank Residential Complex ATM 78,ICICI Bank,Tamil Nadu,Chennai,Chennai,Area-46,49267,13.054902311175745,80.33221535457712,Residential Complex ATM
ATM_000079,SBI Market ATM 79,SBI,Karnataka,Bengaluru Urban,Bengaluru,Area-32,70370,12.91839194471208,77.55015252867156,Market ATM
ATM_000080,HDFC Bank Market ATM 80,HDFC Bank,West Bengal,Kolkata,Kolkata,Area-44,48127,22.53372082262308,88.34041075311443,Market ATM
ATM_000081,Canara Bank Mall ATM 81,Canara Bank,Tamil Nadu,Chennai,Chennai,Area-42,57452,13.045515312876448,80.29521731399635,Mall ATM
ATM_000082,Yes Bank Bank Branch ATM 82,Yes Bank,Delhi,New Delhi,Delhi,Area-2,64279,28.59502131661763,77.19300617227998,Bank Branch ATM
ATM_000083,ICICI Bank Standalone Kiosk 83,ICICI Bank,Gujarat,Ahmedabad,Ahmedabad,Area-13,70711,23.08093017221658,72.54410723265323,Standalone Kiosk
ATM_000084,Axis Bank Railway Station ATM 84,Axis Bank,Maharashtra,Thane,Navi Mumbai,Area-34,59263,18.999431326545828,73.03702113199323,Railway Station ATM
ATM_000085,Punjab National Bank Standalone Kiosk 85,Punjab National Bank,Maharashtra,Mumbai City,Mumbai,Area-58,61706,19.077280293822,72.88159607696088,Standalone Kiosk
ATM_000086,Punjab National Bank Bank Branch ATM 86,Punjab National Bank,Maharashtra,Mumbai City,Mumbai,Area-10,56336,19.043575603739146,72.91107028466806,Bank Branch ATM
ATM_000087,ICICI Bank Residential Complex ATM 87,ICICI Bank,Tamil Nadu,Chennai,Chennai,Area-7,61419,13.04237547348726,80.30318609124991,Residential Complex ATM
ATM_000088,SBI Market ATM 88,SBI,Delhi,New Delhi,Delhi,Area-56,57413,28.630470770534295,77.22938379698242,Market ATM
ATM_000089,Kotak Mahindra Bank Airport ATM 89,Kotak Mahindra Bank,Maharashtra,Thane,Thane,Area-58,53744,19.250512789923103,73.03406164087934,Airport ATM
ATM_000090,Punjab National Bank Market ATM 90,Punjab National Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-10,59519,12.94715427123051,77.53706480691804,Market ATM
ATM_000091,Punjab National Bank Bank Branch ATM 91,Punjab National Bank,Maharashtra,Thane,Thane,Area-24,68424,19.177845445931013,73.04610051589084,Bank Branch ATM
ATM_000092,Axis Bank Hospital ATM 92,Axis Bank,Tamil Nadu,Chennai,Chennai,Area-37,44866,13.149954627073186,80.25059224526495,Hospital ATM
ATM_000093,IndusInd Bank Standalone Kiosk 93,IndusInd Bank,Delhi,New Delhi,Delhi,Area-12,42614,28.6167369892839,77.28928122735135,Standalone Kiosk
ATM_000094,Canara Bank Petrol Station ATM 94,Canara Bank,Delhi,New Delhi,Delhi,Area-20,51292,28.64169165059887,77.23167573592822,Petrol Station ATM
ATM_000095,Bank of Baroda Mall ATM 95,Bank of Baroda,Maharashtra,Nashik,Nashik,Area-24,41909,19.999374347419597,73.69923227905664,Mall ATM
ATM_000096,ICICI Bank Standalone Kiosk 96,ICICI Bank,Telangana,Hyderabad,Hyderabad,Area-38,58408,17.42854028389265,78.44441128823419,Standalone Kiosk
ATM_000097,IDFC First Bank University ATM 97,IDFC First Bank,Delhi,New Delhi,Delhi,Area-19,71135,28.605704254668684,77.26130185465165,University ATM
ATM_000098,Yes Bank Standalone Kiosk 98,Yes Bank,Maharashtra,Mumbai City,Mumbai,Area-25,64544,19.096067115150106,72.94608903244756,Standalone Kiosk
ATM_000099,SBI Mall ATM 99,SBI,Maharashtra,Mumbai City,Mumbai,Area-18,63211,19.091312358228304,72.91564084956053,Mall ATM
ATM_000100,IndusInd Bank Standalone Kiosk 100,IndusInd Bank,Gujarat,Surat,Surat,Area-45,80314,21.11529805610748,72.82290478510794,Standalone Kiosk
ATM_000101,Union Bank of India Standalone Kiosk 101,Union Bank of India,Uttar Pradesh,Lucknow,Lucknow,Area-10,69771,26.768619192173965,80.96379808067807,Standalone Kiosk
ATM_000102,HDFC Bank Residential Complex ATM 102,HDFC Bank,Tamil Nadu,Chennai,Chennai,Area-14,54217,13.077019595578525,80.36890787939947,Residential Complex ATM
ATM_000103,IDFC First Bank Mall ATM 103,IDFC First Bank,Maharashtra,Pune,Pune,Area-15,52825,18.615989770601267,73.88610716158159,Mall ATM
ATM_000104,HDFC Bank Mall ATM 104,HDFC Bank,Gujarat,Surat,Surat,Area-54,78942,21.11612095563628,72.83787475433475,Mall ATM
ATM_000105,SBI Hospital ATM 105,SBI,West Bengal,Kolkata,Kolkata,Area-56,49645,22.627019730360914,88.348504386611,Hospital ATM
ATM_000106,HDFC Bank Market ATM 106,HDFC Bank,Tamil Nadu,Chennai,Chennai,Area-30,46738,13.032986407125769,80.19806118233626,Market ATM
ATM_000107,Bank of Baroda Petrol Station ATM 107,Bank of Baroda,Delhi,New Delhi,Delhi,Area-10,57741,28.57991887846852,77.21009315974506,Petrol Station ATM
ATM_000108,Canara Bank Market ATM 108,Canara Bank,Maharashtra,Pune,Pune,Area-45,69992,18.589901303342067,73.91787562266242,Market ATM
ATM_000109,Punjab National Bank Railway Station ATM 109,Punjab National Bank,Maharashtra,Mumbai City,Mumbai,Area-30,61407,19.075182285473264,72.93421810074747,Railway Station ATM
ATM_000110,HDFC Bank Petrol Station ATM 110,HDFC Bank,Uttar Pradesh,Lucknow,Lucknow,Area-51,62246,26.843222708791792,80.95968625369402,Petrol Station ATM
ATM_000111,ICICI Bank Bank Branch ATM 111,ICICI Bank,Delhi,New Delhi,Delhi,Area-22,44566,28.614623547099384,77.20016437276645,Bank Branch ATM
ATM_000112,Yes Bank Bank Branch ATM 112,Yes Bank,Maharashtra,Thane,Navi Mumbai,Area-59,75579,19.098053456425703,72.96234821414691,Bank Branch ATM
ATM_000113,IndusInd Bank Standalone Kiosk 113,IndusInd Bank,Maharashtra,Nashik,Nashik,Area-48,73259,20.002396209142194,73.78609597129261,Standalone Kiosk
ATM_000114,IDFC First Bank Petrol Station ATM 114,IDFC First Bank,Telangana,Hyderabad,Hyderabad,Area-14,59651,17.415193888388494,78.48362266665102,Petrol Station ATM
ATM_000115,HDFC Bank Airport ATM 115,HDFC Bank,Maharashtra,Thane,Navi Mumbai,Area-43,54112,19.06890069024167,73.0254751144905,Airport ATM
ATM_000116,IDFC First Bank Railway Station ATM 116,IDFC First Bank,Rajasthan,Jaipur,Jaipur,Area-17,43933,26.930292496888846,75.78119583030755,Railway Station ATM
ATM_000117,Union Bank of India Bank Branch ATM 117,Union Bank of India,West Bengal,Kolkata,Kolkata,Area-21,66337,22.60313735155465,88.37992691168564,Bank Branch ATM
ATM_000118,Kotak Mahindra Bank Residential Complex ATM 118,Kotak Mahindra Bank,Tamil Nadu,Chennai,Chennai,Area-15,51135,13.134732197921853,80.33347937040632,Residential Complex ATM
ATM_000119,HDFC Bank Bank Branch ATM 119,HDFC Bank,Delhi,New Delhi,Delhi,Area-41,80197,28.61336731870137,77.21070331799069,Bank Branch ATM
ATM_000120,IndusInd Bank Bank Branch ATM 120,IndusInd Bank,Telangana,Hyderabad,Hyderabad,Area-16,72315,17.300469863811713,78.4561256689587,Bank Branch ATM
ATM_000121,Bank of Baroda Bus Terminal ATM 121,Bank of Baroda,Telangana,Hyderabad,Hyderabad,Area-38,54346,17.460934753635037,78.54223338719872,Bus Terminal ATM
ATM_000122,SBI Market ATM 122,SBI,Telangana,Hyderabad,Hyderabad,Area-35,75129,17.407787151681706,78.45194038063788,Market ATM
ATM_000123,ICICI Bank University ATM 123,ICICI Bank,Maharashtra,Mumbai City,Mumbai,Area-45,55351,19.063664994250786,72.86593487113007,University ATM
ATM_000124,Punjab National Bank Petrol Station ATM 124,Punjab National Bank,Delhi,New Delhi,Delhi,Area-59,51273,28.551231898272963,77.18953613893922,Petrol Station ATM
ATM_000125,SBI Standalone Kiosk 125,SBI,Maharashtra,Mumbai City,Mumbai,Area-1,79440,19.082563965212646,72.88949657268364,Standalone Kiosk
ATM_000126,Axis Bank Bank Branch ATM 126,Axis Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-59,57446,12.970793101253118,77.63507536164143,Bank Branch ATM
ATM_000127,Bank of Baroda Mall ATM 127,Bank of Baroda,Maharashtra,Nagpur,Nagpur,Area-7,82404,21.201147518815567,79.18211667761801,Mall ATM
ATM_000128,IndusInd Bank Market ATM 128,IndusInd Bank,Maharashtra,Thane,Thane,Area-32,54394,19.282608972898892,72.88671749392927,Market ATM
ATM_000129,HDFC Bank Bank Branch ATM 129,HDFC Bank,Maharashtra,Mumbai City,Mumbai,Area-21,54180,19.003947880936206,72.83311037002841,Bank Branch ATM
ATM_000130,Kotak Mahindra Bank Railway Station ATM 130,Kotak Mahindra Bank,Telangana,Hyderabad,Hyderabad,Area-38,65122,17.381863535499495,78.45162698844055,Railway Station ATM
ATM_000131,Yes Bank Bus Terminal ATM 131,Yes Bank,Maharashtra,Thane,Navi Mumbai,Area-43,49281,19.01179633696639,73.10507488756701,Bus Terminal ATM
ATM_000132,IDFC First Bank Bank Branch ATM 132,IDFC First Bank,Uttar Pradesh,Lucknow,Lucknow,Area-51,52780,26.79406042424502,81.00804437478753,Bank Branch ATM
ATM_000133,IndusInd Bank Market ATM 133,IndusInd Bank,Telangana,Hyderabad,Hyderabad,Area-24,65990,17.350342968739632,78.51142873534339,Market ATM
ATM_000134,ICICI Bank Standalone Kiosk 134,ICICI Bank,Maharashtra,Nagpur,Nagpur,Area-56,55934,21.150156962133117,79.01405966579246,Standalone Kiosk
ATM_000135,IDFC First Bank Bank Branch ATM 135,IDFC First Bank,Telangana,Hyderabad,Hyderabad,Area-20,41553,17.385162348910296,78.48549670598813,Bank Branch ATM
ATM_000136,IndusInd Bank Market ATM 136,IndusInd Bank,Maharashtra,Mumbai City,Mumbai,Area-13,74578,19.08205772125746,72.90073903873818,Market ATM
ATM_000137,Axis Bank Petrol Station ATM 137,Axis Bank,Gujarat,Surat,Surat,Area-23,80382,21.223179555604478,72.80923885411525,Petrol Station ATM
ATM_000138,Bank of Baroda Petrol Station ATM 138,Bank of Baroda,Karnataka,Bengaluru Urban,Bengaluru,Area-32,41795,12.984454809489609,77.6070901962344,Petrol Station ATM
ATM_000139,Kotak Mahindra Bank Hospital ATM 139,Kotak Mahindra Bank,West Bengal,Kolkata,Kolkata,Area-40,42787,22.586849274333396,88.3521034778392,Hospital ATM
ATM_000140,Bank of Baroda Mall ATM 140,Bank of Baroda,Maharashtra,Mumbai City,Mumbai,Area-50,71859,19.149011924286693,72.93412246935895,Mall ATM
ATM_000141,Axis Bank Hospital ATM 141,Axis Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-14,60905,12.96184454963462,77.70387594017772,Hospital ATM
ATM_000142,IndusInd Bank Railway Station ATM 142,IndusInd Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-18,47490,13.005844262065027,77.54391096445266,Railway Station ATM
ATM_000143,IndusInd Bank Mall ATM 143,IndusInd Bank,Uttar Pradesh,Lucknow,Lucknow,Area-56,45789,26.8855842861817,81.038053560332,Mall ATM
ATM_000144,Punjab National Bank Bank Branch ATM 144,Punjab National Bank,Telangana,Hyderabad,Hyderabad,Area-26,70824,17.293341510217825,78.5446742019531,Bank Branch ATM
ATM_000145,IDFC First Bank Market ATM 145,IDFC First Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-15,72377,12.9570457342655,77.59946740582812,Market ATM
ATM_000146,Punjab National Bank Mall ATM 146,Punjab National Bank,Maharashtra,Pune,Pune,Area-59,42935,18.521843319164628,73.90778304556412,Mall ATM
ATM_000147,IDFC First Bank Railway Station ATM 147,IDFC First Bank,Maharashtra,Nagpur,Nagpur,Area-27,61184,21.13530887191366,79.0441079144747,Railway Station ATM
ATM_000148,Canara Bank Petrol Station ATM 148,Canara Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-59,79993,12.97674521141251,77.58745947170766,Petrol Station ATM
ATM_000149,Bank of Baroda Bus Terminal ATM 149,Bank of Baroda,Delhi,New Delhi,Delhi,Area-55,59792,28.671486099645577,77.14305107541588,Bus Terminal ATM
ATM_000150,HDFC Bank Railway Station ATM 150,HDFC Bank,Maharashtra,Mumbai City,Mumbai,Area-54,41183,19.051041251285977,72.91970829237393,Railway Station ATM
ATM_000151,Canara Bank Bank Branch ATM 151,Canara Bank,Gujarat,Ahmedabad,Ahmedabad,Area-35,51689,22.9727121741609,72.56078065791901,Bank Branch ATM
ATM_000152,Axis Bank Mall ATM 152,Axis Bank,Rajasthan,Jaipur,Jaipur,Area-48,45130,26.912563096449293,75.80556641364709,Mall ATM
ATM_000153,ICICI Bank Bus Terminal ATM 153,ICICI Bank,Maharashtra,Thane,Thane,Area-57,68792,19.218939379544256,72.99880293291267,Bus Terminal ATM
ATM_000154,ICICI Bank Mall ATM 154,ICICI Bank,Karnataka,Bengaluru Urban,Bengaluru,Area-16,71818,13.023491950281374,77.67998971856682,Mall ATM
ATM_000155,IndusInd Bank Railway Station ATM 155,IndusInd Bank,Maharashtra,Mumbai City,Mumbai,Area-3,74641,19.080488176870666,72.87582040913196,Railway Station ATM
ATM_000156,HDFC Bank Petrol Station ATM 156,HDFC Bank,Tamil Nadu,Chennai,Chennai,Area-19,62870,13.101891989694947,80.25397609097955,Petrol Station ATM
ATM_000157,IDFC First Bank Residential Complex ATM 157,IDFC First Bank,Maharashtra,Pune,Pune,Area-38,54187,18.525800872314733,73.82389227783078,Residential Complex ATM
ATM_000158,Yes Bank Market ATM 158,Yes Bank,Tamil Nadu,Chennai,Chennai,Area-33,72348,13.030031635088802,80.26467486307006,Market ATM
ATM_000159,SBI Standalone Kiosk 159,SBI,Tamil Nadu,Chennai,Chennai,Area-5,82472,13.01941088226226,80.2745388108205,Standalone Kiosk
ATM_000160,Canara Bank University ATM 160,Canara Bank,West Bengal,Kolkata,Kolkata,Area-34,76138,22.520200049045243,88.35316886121771,University ATM
ATM_000161,Kotak Mahindra Bank Residential Complex ATM 161,Kotak Mahindra Bank,Maharashtra,Mumbai City,Mumbai,Area-11,68502,19.06714542643581,72.87550863111355,Residential Complex ATM
ATM_000162,Punjab National Bank Standalone Kiosk 162,Punjab National Bank,Uttar Pradesh,Lucknow,Lucknow,Area-30,59338,26.82255292645224,80.95799999485584,Standalone Kiosk
ATM_000163,Union Bank of India University ATM 163,Union Bank of India,Maharashtra,Pune,Pune,Area-34,81453,18.582093040732644,73.92753375223428,University ATM
ATM_000164,Punjab National Bank Airport ATM 164,Punjab National Bank,Maharashtra,Mumbai City,Mumbai,Area-38,76482,19.124536092974644,72.92948649943835,Airport ATM
